Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037678.1,Phage_tail_L,Phage_tail_L,0,309.9,24,249,1,0,1
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037678.1,TIGR01600,TIGR01600,0,221,6,249,0,1,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037712.1,Phage_tail_L,Phage_tail_L,0,320.5,24,250,1,0,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037712.1,TIGR01600,TIGR01600,0,204.8,6,250,0,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040597.1,Phage_tail_L,Phage_tail_L,0,324.5,29,230,1,0,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040597.1,TIGR01600,TIGR01600,0,329.6,11,230,0,1,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046913.1,Phage_tail_L,Phage_tail_L,0,323.4,24,249,1,0,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046913.1,TIGR01600,TIGR01600,0,211.7,6,249,0,0,0
Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061518.1,DUF1833,DUF1833,0,181.2,3,151,0,0,0
Mycoplasma genitalium G37,0,0,NC_000908,NP_073128.1,Phage_BR0599,Phage_BR0599,2.1,16.9,4,34,0,1,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249329.1,Phage_tail_L,Phage_tail_L,0,304.7,24,229,1,0,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249329.1,TIGR01600,TIGR01600,0,255.2,6,229,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286525.1,Phage_tail_L,Phage_tail_L,0,320,29,230,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286525.1,TIGR01600,TIGR01600,0,325.3,11,230,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286897.1,Phage_tail_L,Phage_tail_L,1.40E-45,163.9,29,134,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286897.1,TIGR01600,TIGR01600,0,202.5,11,134,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286898.1,Phage_tail_L,Phage_tail_L,4.50E-18,73.7,1,55,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286898.1,TIGR01600,TIGR01600,3.30E-19,77.3,1,56,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287303.1,Phage_tail_L,Phage_tail_L,0,319.4,29,230,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287303.1,TIGR01600,TIGR01600,0,375.5,11,230,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287391.1,Phage_tail_L,Phage_tail_L,2.50E-39,143.1,29,133,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287391.1,TIGR01600,TIGR01600,0,180.2,11,130,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287596.1,Phage_tail_L,Phage_tail_L,0,322.6,29,230,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287596.1,TIGR01600,TIGR01600,0,383,11,230,0,1,1
