Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037677.1,LM-HK97,LM-HK97,5.90E-39,140.8,3,111,0,0,0
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037711.1,LM-HK97,LM-HK97,2.70E-38,138.7,3,111,0,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040596.1,LM-HK97,LM-HK97,6.00E-35,127.9,1,109,1,0,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040596.1,LM-Lam,LM-Lam,0.032,22.5,13,106,0,0,0
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046912.1,LM-HK97,LM-HK97,1.00E-31,117.5,3,114,0,0,0
Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061517.1,LM-Lam,LM-Lam,6.80E-28,105.2,15,124,0,0,0
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249328.1,LM-HK97,LM-HK97,1.10E-30,114.2,4,112,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286524.1,LM-YuA,LM-YuA,8,14.3,3,108,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286524.1,LM-HK97,LM-HK97,2.00E-37,135.9,1,109,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287595.1,LM-HK97,LM-HK97,4.30E-34,125.2,1,109,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287595.1,LM-Lam,LM-Lam,0.26,19.6,12,103,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287785.1,LM-HK97,LM-HK97,3.80E-35,128.5,1,109,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287785.1,LM-Lam,LM-Lam,0.15,20.4,12,105,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288445.1,LM-HK97,LM-HK97,4.30E-34,125.2,1,109,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288445.1,LM-Lam,LM-Lam,0.26,19.6,12,103,0,0,0
Xylella fastidiosa 9a5c,0,0,NC_002488,NP_297812.1,LM-73,LM-73,0,238.4,4,390,0,1,1
