Prot RefSeq, Name, E Value
NP_037681.1, LI-Lam, 2.2e-23
NP_037714.1, LI-Lam, 2.2e-23
NP_040599.1, U_LI-Bact, 1.4000000000000001e-33
NP_046915.1, LI-Lam, 0.0
NP_106391.1, U_LI-Bact, 5.4
NP_207594.1, U_LI-Bact, 0.23
NP_213755.1, U_LI-Bact, 0.027
NP_215383.1, U_LI-Bact, 6.4
NP_215851.1, U_LI-Bact, 1.8e-35
NP_223455.1, U_LI-Bact, 1.3
NP_249071.1, U_LI-Bact, 1.5
NP_249331.1, LI-Lam, 0.0
NP_250046.1, U_LI-Bact, 7.5e-09
NP_286527.1, LI-Lam, 1.1e-32
NP_286900.1, LI-Lam, 0.0
NP_287308.1, LI-HK97, 0.012
NP_287598.1, LI-Lam, 5.9000000000000005e-27
NP_287781.1, LI-Lam, 0.16
NP_287782.1, LI-Lam, 0.12
NP_287968.1, LI-Lam, 7.2e-28
NP_288442.1, LI-Lam, 6.4000000000000005e-27
NP_288647.1, LI-Lam, 2.7e-30
NP_290623.2, U_LI-Bact, 0.15
NP_297814.1, LI-MP22, 5e-10
NP_299396.1, LI-MP22, 4.4e-09
NP_308868.1, LI-Lam, 1.1e-32
NP_309145.1, LI-Lam, 2e-28
NP_309586.1, LI-HK97, 0.0
NP_309674.1, LI-Lam, 2.1e-33
NP_310014.1, LI-Lam, 2.7e-30
NP_310189.1, LI-Lam, 1.3e-27
NP_310263.1, LI-Lam, 7.2e-28
NP_310748.1, LI-Lam, 1.3e-27
NP_310972.1, LI-Lam, 1.3e-27
NP_335318.1, U_LI-Bact, 6.4
NP_335827.1, U_LI-Bact, 1.8e-35
NP_337720.1, U_LI-Bact, 6.3e-05
NP_337952.1, U_LI-Bact, 0.23
NP_347928.1, U_LI-Bact, 1.7
NP_389314.1, U_LI-Bact, 2.2
NP_420688.1, LI-HK97, 4.4
NP_441456.1, U_LI-Bact, 2.8000000000000003e-31
NP_459900.1, LI-Lam, 2.2e-37
NP_460022.1, LI-Lam, 4.7e-30
NP_461526.1, LI-Lam, 7.6e-35
NP_463030.1, LI-HK97, 1.0
NP_487334.1, U_LI-Bact, 2.7000000000000004e-32
NP_519817.1, LI-Lam, 0.0
NP_536376.1, LI-Lam, 0.0
NP_627137.1, U_LI-Bact, 2.4e-36
NP_628338.1, U_LI-Bact, 0.96
NP_628466.1, U_LI-Bact, 1.1000000000000001e-35
NP_638495.1, LI-HK97, 5.0
NP_638659.1, LI-MP22, 2.0
NP_643608.1, U_LI-Bact, 0.044
NP_669499.1, LI-Lam, 0.0
NP_680912.1, LI-HK97, 3.9
NP_681773.1, U_LI-Bact, 1.4000000000000001e-33
NP_682151.1, U_LI-Bact, 1.6
NP_718510.1, LI-Lam, 0.0
NP_738545.1, LI-HK97, 0.016
NP_753374.1, LI-Lam, 0.0
NP_753497.1, LI-Lam, 1.5e-33
NP_755037.1, U_LI-Bact, 3e-34
NP_756802.1, U_LI-Bact, 0.073
NP_769781.1, LI-Lam, 7.2
NP_773296.1, LI-HK97, 1.1
NP_774953.1, U_LI-Bact, 9.1
NP_779786.1, LI-MP22, 1.9e-08
NP_780061.1, LI-HK97, 8.8
NP_790282.1, U_LI-Bact, 5.3
NP_819324.2, U_LI-Bact, 1.9
NP_819374.1, U_LI-Bact, 6.2
NP_825110.1, U_LI-Bact, 3.4e-35
NP_825217.1, U_LI-Bact, 3.0
NP_826340.1, U_LI-Bact, 9e-36
NP_827270.1, LI-HK97, 3.0
NP_830538.1, U_LI-Bact, 0.6
NP_831062.1, U_LI-Bact, 9.1
NP_836423.1, LI-Lam, 0.0
NP_842348.1, U_LI-Bact, 2.5e-33
NP_843256.1, U_LI-Bact, 1.4
NP_858969.1, LI-HK97, 0.011
NP_859577.1, U_LI-Bact, 9.7
NP_860321.1, U_LI-Bact, 3.8
NP_872757.1, LI-MP22, 1.3e-19
NP_873088.1, LI-MP22, 1e-18
NP_873970.1, LI-MP22, 1e-18
NP_899856.1, U_LI-Bact, 0.0034
NP_903437.1, LI-HK97, 1.4
NP_906171.1, LI-HK97, 1.0
NP_918978.1, LI-MP22, 7.4999999999999996e-34
NP_923348.1, LI-HK97, 9.5
NP_925007.1, U_LI-Bact, 3.2e-33
NP_926359.1, U_LI-Bact, 3.4999999999999996e-30
NP_927312.1, U_LI-Bact, 0.67
NP_938258.1, LI-MP22, 1.1000000000000001e-29
NP_944578.1, U_LI-Bact, 0.11
NP_945049.1, LI-Lam, 0.0
NP_951962.1, U_LI-Bact, 6e-07
NP_966174.1, LI-MP22, 3.4
NP_977125.1, U_LI-Bact, 1.4
YP_001001164.1, U_LI-Bact, 0.31
YP_001002680.1, LI-HK97, 3.4
YP_001003965.1, LI-HK97, 2.1
YP_001006237.1, U_LI-Bact, 3.7
YP_001006526.1, LI-Lam, 7e-16
YP_001015515.1, U_LI-Bact, 0.32
YP_001021763.1, U_LI-Bact, 4.1
YP_001022709.1, U_LI-Bact, 3.4e-06
YP_001048688.1, U_LI-Bact, 8.5
YP_001053232.1, LI-Lam, 0.0
YP_001071048.1, LI-MP22, 6.4
YP_001072102.1, U_LI-Bact, 8.5e-36
YP_001072430.1, U_LI-Bact, 3.1
YP_001092221.1, U_LI-Bact, 6.4
YP_001102779.1, LI-HK97, 4.2
YP_001103456.1, U_LI-Bact, 2.7e-38
YP_001103892.1, U_LI-Bact, 8.300000000000001e-22
YP_001111099.1, LI-Lam, 0.0
YP_001131384.1, U_LI-Bact, 5.0
YP_001132974.1, U_LI-Bact, 8.5
YP_001133619.1, U_LI-Bact, 1.2e-36
YP_001157950.1, U_LI-Bact, 1e-35
YP_001160695.1, LI-HK97, 0.87
YP_001162374.1, LI-Lam, 0.0
YP_001176945.1, LI-Lam, 0.0
YP_001179088.1, LI-HK97, 2.3
YP_001180415.1, LI-HK97, 0.29
YP_001181922.1, U_LI-Bact, 5.4
YP_001205649.1, LI-HK97, 0.023
YP_001206886.1, LI-Lam, 4.9
YP_001207596.1, LI-HK97, 0.43
YP_001211161.1, U_LI-Bact, 4.6
YP_001227746.1, U_LI-Bact, 2.9e-32
YP_001227992.1, LI-HK97, 1.1
YP_001234100.1, LI-HK97, 0.032
YP_001242052.1, LI-HK97, 2.1
YP_001250309.1, LI-HK97, 7.6
YP_001255498.1, U_LI-Bact, 1.0
YP_001272530.1, LI-Lam, 2e-35
YP_001275088.1, U_LI-Bact, 1.3000000000000001e-32
YP_001279130.1, U_LI-Bact, 4.4
YP_001282168.1, U_LI-Bact, 6.4
YP_001282647.1, U_LI-Bact, 1.8e-35
YP_001284489.1, U_LI-Bact, 6.3e-05
YP_001284710.1, U_LI-Bact, 0.23
YP_001285539.1, LI-Lam, 0.0
YP_001285691.1, LI-HK97, 0.0096
YP_001286830.1, U_LI-Bact, 6.4
YP_001289058.1, U_LI-Bact, 6.3e-05
YP_001289281.1, U_LI-Bact, 0.23
YP_001293432.1, LI-MP22, 3.1e-28
YP_001294544.1, LI-MP22, 2.6e-30
YP_001335094.1, LI-HK97, 8.4
YP_001341247.1, LI-HK97, 5.8
YP_001344548.1, LI-Lam, 0.0
YP_001345874.1, U_LI-Bact, 1.3
YP_001346179.1, LI-Lam, 0.0
YP_001347792.1, LI-Lam, 0.0
YP_001349382.1, U_LI-Bact, 4.3e-08
YP_001352006.1, LI-HK97, 2.0
YP_001353005.1, U_LI-Bact, 4.1
YP_001357099.1, U_LI-Bact, 0.8
YP_001357427.1, U_LI-Bact, 0.17
YP_001364513.1, U_LI-Bact, 8.5
YP_001373960.1, U_LI-Bact, 2.0
YP_001378352.1, U_LI-Bact, 0.94
YP_001380691.1, U_LI-Bact, 3e-07
YP_001380771.1, U_LI-Bact, 1.8e-25
YP_001385326.1, U_LI-Bact, 1.0
YP_001388734.1, U_LI-Bact, 1.0
YP_001392282.1, U_LI-Bact, 1.2
YP_001394607.1, U_LI-Bact, 3.8
YP_001398816.1, U_LI-Bact, 0.31
YP_001405891.1, LI-MP22, 7.9e-09
YP_001408908.1, U_LI-Bact, 0.055
YP_001414645.1, LI-MP22, 4.6
YP_001416748.1, LI-Lam, 2.2
YP_001417125.1, LI-HK97, 0.017
YP_001417720.1, U_LI-Bact, 0.0
YP_001418604.1, LI-HK97, 0.0022
YP_001420764.1, LI-HK97, 5.4
YP_001425080.1, U_LI-Bact, 3.1
YP_001430468.1, U_LI-Bact, 5.3000000000000004e-33
YP_001431971.1, U_LI-Bact, 0.0
YP_001433003.1, U_LI-Bact, 0.55
YP_001433838.1, LI-HK97, 8.6
YP_001437148.1, LI-Lam, 0.0
YP_001449308.1, LI-Lam, 2.5000000000000002e-29
YP_001460778.1, U_LI-Bact, 0.046
YP_001465485.1, U_LI-Bact, 0.033
YP_001469176.1, LI-MP22, 9.6e-32
YP_001476129.1, U_LI-Bact, 8.7
YP_001482995.1, U_LI-Bact, 0.32
YP_001491179.1, U_LI-Bact, 2.1e-20
YP_001496253.1, LI-MP22, 4.9
YP_001509910.1, U_LI-Bact, 2.5e-38
YP_001515275.1, U_LI-Bact, 3e-34
YP_001526469.1, LI-HK97, 0.067
YP_001527157.1, LI-MP22, 3.1
YP_001533584.1, LI-HK97, 5.4
YP_001534438.1, U_LI-Bact, 1.5
YP_001534733.1, LI-HK97, 5.4
YP_001535557.1, LI-HK97, 7.4
YP_001535892.1, U_LI-Bact, 4.2e-36
YP_001536887.1, U_LI-Bact, 1.1
YP_001536976.1, U_LI-Bact, 6.9e-08
YP_001537023.1, U_LI-Bact, 8.3e-07
YP_001539050.1, LI-HK97, 0.017
YP_001539781.1, U_LI-Bact, 0.57
YP_001542939.1, U_LI-Bact, 1.6
YP_001545345.1, U_LI-Bact, 6.7
YP_001552729.1, U_LI-Bact, 8.5
YP_001567449.1, U_LI-Bact, 4.6e-07
YP_001595897.1, LI-MP22, 2.6e-30
YP_001596230.1, U_LI-Bact, 1.7
YP_001606802.1, LI-Lam, 0.0
YP_001615035.1, LI-Lam, 3.6
YP_001615078.1, LI-MP22, 7.0
YP_001615911.1, LI-HK97, 1.4
YP_001616398.1, U_LI-Bact, 2.8e-34
YP_001618175.1, U_LI-Bact, 1.4e-10
YP_001624362.1, LI-HK97, 0.089
YP_001632939.1, U_LI-Bact, 0.69
YP_001635476.1, U_LI-Bact, 0.27
YP_001636177.1, U_LI-Bact, 0.41
YP_001637064.1, U_LI-Bact, 5e-32
YP_001638089.1, U_LI-Bact, 0.13
YP_001640988.1, LI-HK97, 0.4
YP_001643537.1, U_LI-Bact, 6.6
YP_001651079.1, LI-Lam, 10.0
YP_001656719.1, U_LI-Bact, 1.6e-32
YP_001660934.1, U_LI-Bact, 2.6
YP_001663656.1, U_LI-Bact, 5.0
YP_001679633.1, LI-HK97, 0.56
YP_001684192.1, LI-HK97, 4.0
YP_001684578.1, LI-MP22, 5.2
YP_001698943.1, U_LI-Bact, 1.2
YP_001716899.1, LI-MP22, 7.4
YP_001725075.1, LI-Lam, 0.0
YP_001726960.1, U_LI-Bact, 0.032
YP_001732772.1, U_LI-Bact, 0.032
YP_001733551.1, U_LI-Bact, 4.2000000000000004e-32
YP_001735824.1, U_LI-Bact, 0.22
YP_001743263.1, LI-Lam, 2.6e-33
YP_001746375.1, U_LI-Bact, 0.073
YP_001747235.1, U_LI-Bact, 4.2
YP_001750777.1, LI-Lam, 9.3e-17
YP_001753272.1, U_LI-Bact, 0.89
YP_001756673.1, LI-MP22, 9.1
YP_001757453.1, LI-HK97, 8.6
YP_001760961.1, LI-HK97, 5.6
YP_001763134.1, U_LI-Bact, 1.5
YP_001770593.1, LI-HK97, 1.2
YP_001773449.1, U_LI-Bact, 1.0
YP_001775280.1, LI-MP22, 5e-10
YP_001776742.1, LI-MP22, 9.3e-16
YP_001781499.1, U_LI-Bact, 7.0
YP_001782639.1, U_LI-Bact, 1.4
YP_001788318.1, U_LI-Bact, 1.2
YP_001791471.1, U_LI-Bact, 9.8e-09
YP_001800501.1, LI-HK97, 9.2
YP_001824739.1, U_LI-Bact, 3.3e-35
YP_001825474.1, U_LI-Bact, 1.0
YP_001825489.1, LI-Lam, 1.0
YP_001826143.1, U_LI-Bact, 1.1e-36
YP_001826905.1, LI-HK97, 1.5
YP_001830365.1, LI-MP22, 1.9e-08
YP_001830840.1, LI-MP22, 1.1e-23
YP_001833274.1, U_LI-Bact, 1.9
YP_001847377.1, LI-Lam, 0.0
YP_001852316.1, U_LI-Bact, 4.9
YP_001852325.1, U_LI-Bact, 9.500000000000001e-37
YP_001854294.1, LI-HK97, 0.29
YP_001864458.1, U_LI-Bact, 1.3e-33
YP_001869486.1, U_LI-Bact, 2.6
YP_001871024.1, U_LI-Bact, 0.0007
YP_001876711.1, LI-HK97, 4.6
YP_001879571.1, LI-Lam, 0.0
YP_001879747.1, LI-Lam, 0.0
YP_001880078.1, LI-Lam, 0.0
YP_001882678.1, U_LI-Bact, 0.046
YP_001902291.1, LI-MP22, 3.4
YP_001902435.1, LI-HK97, 4.9
YP_001904732.1, LI-Lam, 0.0
YP_001904766.1, U_LI-Bact, 5.0
YP_001908344.1, LI-Lam, 0.0
YP_001910042.1, U_LI-Bact, 0.069
YP_001913656.1, LI-HK97, 6.0
YP_001913847.1, LI-HK97, 6.0
YP_001914749.1, U_LI-Bact, 2.4
YP_001917990.1, U_LI-Bact, 1.1
YP_001923292.1, U_LI-Bact, 1.2
YP_001928277.1, LI-HK97, 1.4
YP_001930424.1, U_LI-Bact, 6.7e-05
YP_001930995.1, U_LI-Bact, 8.100000000000001e-37
YP_001939901.1, U_LI-Bact, 1.0000000000000001e-29
YP_001949007.1, LI-Lam, 0.0
YP_001949407.1, U_LI-Bact, 1.4e-06
YP_001950293.1, LI-HK97, 2.2
YP_001960742.1, U_LI-Bact, 8.7
YP_001968297.1, LI-Lam, 0.0
YP_001971683.1, LI-MP22, 3e-27
YP_001973471.1, U_LI-Bact, 4.8
YP_001982572.1, LI-HK97, 9.9
YP_001992947.1, LI-Lam, 0.0
YP_001995632.1, U_LI-Bact, 3.7000000000000004e-26
YP_001996946.1, LI-HK97, 0.67
YP_002016774.1, U_LI-Bact, 2.3
YP_002029571.1, U_LI-Bact, 4.8
YP_002040248.2, LI-Lam, 4.7e-30
YP_002041855.2, LI-Lam, 6.3e-35
YP_002045051.1, LI-Lam, 3.6e-26
YP_002113670.1, LI-Lam, 1.6e-34
YP_002117062.1, LI-HK97, 8.6
YP_002120785.1, U_LI-Bact, 2.8e-36
YP_002121806.1, LI-HK97, 2.0
YP_002132108.1, U_LI-Bact, 0.0
YP_002133542.1, U_LI-Bact, 6.7
YP_002134010.1, U_LI-Bact, 3.5e-07
YP_002135920.1, U_LI-Bact, 1.2e-26
