Prot RefSeq, Name, E Value
NP_049866.1, TC-ListeriaB025, 7.6
NP_075507.1, TC-ListeriaB025, 0.0
NP_076620.1, TC-JCL103, 1.3999999999999999e-24
NP_223387.1, TC-ListeriaB025, 9.2
NP_244390.1, TC-IEBH, 1.2
NP_267200.1, TC-JCL103, 1.3999999999999999e-24
NP_268294.1, TC-ListeriaB025, 5.1
NP_372483.1, TC-ListeriaB025, 3.9e-31
NP_375068.1, TC-ListeriaB025, 7.500000000000001e-32
NP_390494.1, TC-JCL103, 6.9
NP_562041.1, TC-ListeriaB025, 0.07
NP_562549.1, TC-ListeriaB025, 0.59
NP_606628.1, TC-ListeriaB025, 3.5999999999999996e-42
NP_646212.1, TC-ListeriaB025, 0.0
NP_664521.1, TC-ListeriaB025, 3.5999999999999996e-42
NP_688838.1, TC-JCL103, 0.0
NP_752864.1, TC-ShewanellaB, 2.0
NP_802397.1, TC-ListeriaB025, 3.5999999999999996e-42
NP_803341.1, TC-ListeriaB025, 0.0
NP_815677.1, TC-JCL103, 5.9e-05
NP_835560.1, TC-ListeriaB025, 7.500000000000001e-32
NP_843011.1, TC-JCL103, 1.8000000000000002e-29
NP_846036.1, TC-JCL103, 1.8e-31
NP_846326.1, TC-ListeriaB025, 0.43
NP_918988.2, TC-ShewanellaB, 0.016
NP_945289.1, TC-JCL103, 0.017
NP_958610.1, TC-ListeriaB025, 1.6e-29
YP_001022372.1, TC-ShewanellaB, 5.0
YP_001033661.1, TC-ListeriaB025, 5.6
YP_001038877.1, TC-JCL103, 0.013
YP_001039927.1, TC-ListeriaB025, 4.1999999999999995e-42
YP_001051939.1, TC-ShewanellaB, 0.0
YP_001110729.1, TC-JCL103, 5.3
YP_001126318.1, TC-ShewanellaB, 0.8
YP_001246442.1, TC-ListeriaB025, 0.0
YP_001247376.1, TC-ListeriaB025, 1.6e-29
YP_001294538.1, TC-HK97, 1.4e-19
YP_001294805.1, TC-HK97, 8.1
YP_001294843.1, TC-HK97, 3.5
YP_001306686.1, TC-phiC2, 3.7e-06
YP_001308774.1, TC-Adjutor, 0.0
YP_001315508.1, U_TC_Fam7, 2.3e-16
YP_001316057.1, TC-HK97, 0.0
YP_001316228.1, TC-ListeriaB025, 0.0
YP_001317169.1, TC-HK97, 1.6e-29
YP_001318310.1, TC-TPSY, 2.6e-06
YP_001319782.1, TC-TPSY, 2.6e-06
YP_001320231.1, TC-Che12, 0.00049
YP_001320382.1, TC-HK97, 0.0
YP_001321765.1, TC-HK97, 0.0
YP_001322091.1, TC-TPSY, 2.6e-06
YP_001322407.1, TC-phiC2, 4.5
YP_001327011.1, TC-HK97, 2.3e-18
YP_001327334.1, TC-Lam, 0.0
YP_001327555.1, TC-T1, 2.9e-38
YP_001331331.1, TC-HK97, 2e-16
YP_001332057.1, TC-HK97, 0.0
YP_001332819.1, TC-HK97, 0.0
YP_001332926.1, TC-HK97, 7.500000000000001e-32
YP_001335085.1, TC-Phi297, 3.19e-43
YP_001337116.1, TC-Mu, 2.3e-39
YP_001339451.1, TC-Mu, 8.5e-06
YP_001344538.1, TC-HK97, 4.2999999999999994e-23
YP_001346093.1, TC-Mu, 3.8e-05
YP_001347779.1, TC-HK97, 5.4e-36
YP_001350394.1, TC-Mu, 0.0021
YP_001354408.1, TC-Lam, 5.5e-06
YP_001354468.1, TC-Lam, 1.5e-06
YP_001355940.1, TC-Adjutor, 0.0013
YP_001361466.1, TC-HK97, 4.8
YP_001364979.1, TC-ShewanellaB, 0.0
YP_001366296.1, TC-Mu, 1.7e-21
YP_001375819.1, TC-ListeriaB025, 0.0
YP_001376016.1, TC-JCL103, 1.5
YP_001376037.1, TC-ShewanellaB, 2.5
YP_001384746.1, TC-ListeriaB025, 1.6e-17
YP_001385263.1, TC-JCL103, 2.3e-17
YP_001385357.1, TC-Adjutor, 0.00023
YP_001388765.1, TC-Adjutor, 0.00023
YP_001391152.1, TC-HK97, 1.6e-05
YP_001391653.1, TC-Che12, 0.0044
YP_001392313.1, TC-Adjutor, 7.3e-06
YP_001392476.1, TC-JCL103, 3.1e-19
YP_001393557.1, TC-HK97, 8.0
YP_001395249.1, TC-Adjutor, 0.0
YP_001395340.1, TC-Adjutor, 0.0
YP_001396019.1, TC-HK97, 1e-09
YP_001396640.1, TC-Adjutor, 3.4e-25
YP_001405868.1, TC-Mu, 8.6e-06
YP_001406136.1, TC-JCL103, 6.0
YP_001418521.1, TC-HK97, 0.29
YP_001418590.1, TC-HK97, 3.5e-19
YP_001419378.1, TC-Mu, 0.0
YP_001429946.1, TC-ListeriaB025, 0.0
YP_001437137.1, TC-HK97, 3.2e-22
YP_001437731.1, TC-Sfv, 0.0
YP_001437748.1, TC-Mu, 6.0
YP_001439107.1, U_TC_Fam7, 0.0
YP_001439888.1, U_TC_Fam5, 3.1
YP_001441481.1, TC-HK97, 0.0
YP_001442535.1, TC-HK97, 3.9e-31
YP_001449299.1, TC-HK97, 2.8e-18
YP_001453421.1, TC-Phi297, 2.5999999999999997e-40
YP_001457672.1, TC-Mu, 5.400000000000001e-32
YP_001458781.1, TC-Lam, 6.6e-25
YP_001463288.1, TC-BCereusAH820, 0.16
YP_001468396.1, TC-BCJA1C, 0.0
YP_001468648.1, TC-ListeriaB025, 0.0
YP_001468715.1, TC-TPSY, 0.04
YP_001468793.1, TC-HK97, 0.18
YP_001469157.1, TC-Mu, 0.0
YP_001469215.1, TC-Che12, 0.0
YP_001469242.1, TC-Che12, 6e-07
YP_001476560.1, TC-Phi297, 4.1
YP_001480323.1, TC-Phi297, 1.6
YP_001484961.1, TC-ListeriaB025, 2.5
YP_001487980.1, TC-phiC2, 0.0
YP_001490594.1, TC-Mu, 1.2e-07
YP_001491589.1, TC-Che12, 3.6e-08
YP_001491670.1, TC-Che12, 3.6e-08
YP_001516111.1, TC-Lam, 4.6
YP_001525068.1, TC-Mu, 3.1e-05
YP_001537790.1, TC-Che12, 1.9
YP_001543435.1, TC-Adjutor, 0.0063
YP_001553228.1, TC-ShewanellaB, 0.0
YP_001554567.1, TC-Mu, 5.3e-22
YP_001555331.1, TC-Mu, 1.0000000000000001e-29
YP_001560057.1, TC-JCL103, 0.018
YP_001562666.1, TC-HK97, 0.0
YP_001564268.1, TC-HK97, 3.4000000000000003e-29
YP_001565105.1, TC-HK97, 1.9e-10
YP_001565705.1, TC-Lam, 0.0
YP_001575335.1, TC-ListeriaB025, 0.0
YP_001575842.1, TC-HK97, 1.2e-31
YP_001588375.1, TC-Sfv, 0.0
YP_001595206.1, U_TC_Fam5, 5.0
YP_001595891.1, TC-HK97, 1.4e-19
YP_001599166.1, TC-Mu, 0.0
YP_001604139.1, U_TC_Fam7, 0.0
YP_001604832.1, TC-HK97, 4.1
YP_001605930.1, TC-Mu, 0.52
YP_001606646.1, TC-HK97, 0.0
YP_001608814.1, TC-Lam, 0.19
YP_001608977.1, TC-Lam, 0.17
YP_001609347.1, TC-Lam, 0.17
YP_001609601.1, TC-Mu, 2.1e-08
YP_001609646.1, TC-Mu, 2.1e-08
YP_001609755.1, TC-Mu, 2.1e-08
YP_001610092.1, TC-Mu, 2.1e-08
YP_001610567.1, TC-Mu, 2.1e-08
YP_001612280.1, TC-ShewanellaB, 8.0
YP_001620608.1, TC-ListeriaB025, 0.0
YP_001633028.1, TC-Mu, 4.9e-16
YP_001634639.1, TC-phiC2, 5.0
YP_001646225.1, TC-HK97, 5.7e-31
YP_001646385.1, TC-HK97, 1.8e-37
YP_001646716.1, TC-JCL103, 4.7
YP_001650893.1, TC-Mu, 1.8e-41
YP_001659020.1, TC-phiC2, 3.5
YP_001662888.1, TC-HK97, 1.2e-10
YP_001669638.1, TC-HK97, 7.57e-44
YP_001673351.1, TC-TPSY, 9.3
YP_001673554.1, TC-Mu, 0.33
YP_001679381.1, TC-Mu, 6.4
