Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037681.1,LI-HK97,LI-HK97,7.30E-20,79,4,89,1,0,1
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037681.1,LI-Lam,LI-Lam,2.20E-23,91.2,34,202,0,1,0
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037714.1,LI-HK97,LI-HK97,7.30E-20,79,4,89,1,0,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037714.1,LI-Lam,LI-Lam,2.20E-23,91.2,34,202,0,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040599.1,LI-HK97,LI-HK97,3.50E-21,83.2,13,97,1,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040599.1,LI-Lam,LI-Lam,1.40E-33,124.5,41,217,1,0,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040599.1,U_LI-Bact,U_LI-Bact,7,15.2,24,99,0,1,0
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046915.1,LI-HK97,LI-HK97,0,58.5,1,85,1,0,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046915.1,LI-Lam,LI-Lam,7.60E-22,86.2,59,192,0,1,0
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_106391.1,U_LI-Bact,U_LI-Bact,5.4,15.6,2,37,1,0,1
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_106391.1,U_LI-Bact,U_LI-Bact,5.4,15.6,28,65,0,0,0
Helicobacter pylori 26695,0,0,NC_000915,NP_207594.1,U_LI-Bact,U_LI-Bact,0.23,20,14,74,0,0,0
Aquifex aeolicus VF5,0,0,NC_000918,NP_213755.1,U_LI-Bact,U_LI-Bact,0.027,22.9,1,78,0,0,0
Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_215383.1,U_LI-Bact,U_LI-Bact,6.4,15.3,11,92,0,0,0
Mycobacterium tuberculosis H37Rv,0,0,NC_000962,NP_215851.1,U_LI-Bact,U_LI-Bact,1.80E-35,129.3,1,93,0,0,0
Helicobacter pylori J99,0,0,NC_000921,NP_223455.1,U_LI-Bact,U_LI-Bact,1.3,17.5,13,73,0,0,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249071.1,U_LI-Bact,U_LI-Bact,1.5,17.4,16,66,0,1,0
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249331.1,LI-HK97,LI-HK97,0.0000000092,43.4,8,94,1,0,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249331.1,LI-Lam,LI-Lam,0,60.5,39,200,0,0,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_250046.1,U_LI-Bact,U_LI-Bact,0.0000000075,44,38,126,0,1,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286527.1,LI-HK97,LI-HK97,3.90E-19,76.6,13,97,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286527.1,LI-Lam,LI-Lam,1.10E-32,121.5,41,209,0,1,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286900.1,LI-HK97,LI-HK97,0,59.1,90,171,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286900.1,LI-Lam,LI-Lam,1.40E-27,104.9,115,289,0,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287308.1,LI-HK97,LI-HK97,0.012,23.8,1,50,0,1,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287598.1,LI-HK97,LI-HK97,4.80E-19,76.3,13,97,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287598.1,LI-Lam,LI-Lam,5.90E-27,102.8,41,218,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287781.1,LI-Lam,LI-Lam,0.16,20,1,36,0,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287782.1,LI-Lam,LI-Lam,0.12,20.4,23,92,0,1,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287968.1,LI-HK97,LI-HK97,2.90E-19,77,13,97,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287968.1,LI-Lam,LI-Lam,7.20E-28,105.8,41,215,0,1,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288442.1,LI-HK97,LI-HK97,0.0038,25.4,1,50,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288442.1,LI-Lam,LI-Lam,6.40E-27,102.7,1,171,0,1,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288647.1,LI-HK97,LI-HK97,9.90E-20,78.5,13,97,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288647.1,LI-Lam,LI-Lam,2.70E-30,113.7,41,217,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_290623.2,LI-HK97,LI-HK97,0.15,20.2,10,66,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_290623.2,U_LI-Bact,U_LI-Bact,5.1,15.6,2,50,1,0,1
