Prot RefSeq, Name, E Value
NP_037676.1, U_TM_CT-IMP, 0.0
NP_037710.1, U_TM_CT-IMP, 0.0
NP_038334.1, TIGR02675, 0.0029
NP_039690.1, U_TM_TP-C, 0.0
NP_040595.1, U_TM-PNJ, 0.0
NP_042314.1, TIGR02675, 0.59
NP_043498.1, TM_Fam1, 1.7e-28
NP_043558.1, TIGR02675, 0.016
NP_044960.1, TIGR02675, 0.00046
NP_046584.1, TIGR01760, 0.0
NP_046782.1, TIGR01760, 0.0
NP_046842.1, U_TM_TP-C, 3e-20
NP_046911.1, U_TM-PNJ, 0.0
NP_046976.1, TIGR01760, 0.00029
NP_047934.1, TM-P2, 2.5e-17
NP_049403.2, TIGR02675, 9.6e-06
NP_049805.1, TM-T4, 4.4e-28
NP_049935.1, TIGR02675, 0.049
NP_049978.1, TIGR02675, 0.0045
NP_050160.1, U_TM_CT-IMP, 0.00018
NP_050646.1, TIGR02675, 0.0
NP_056689.1, TM-SPP1, 1.2e-05
NP_058453.1, TM_Fam1, 0.0
NP_058454.1, U_TM_TP-C, 3.3
NP_061515.1, TM_Fam1, 2.94e-44
NP_061516.1, TM_Fam3, 1.6e-40
NP_061640.1, TM_Fam1, 0.0
NP_071830.1, TM_Fam1, 5.7e-10
NP_073018.1, U_TM_T4-PSSM2, 8.9
NP_073035.1, TM-SPP1, 7.3
NP_073064.1, U_TM_T4-PMH1, 6.5
NP_075289.1, U_TM_TP-C, 4.600000000000001e-21
NP_075512.2, TM_Fam1, 0.0
NP_076624.1, U_TM_CT-IMP, 0.0
NP_076686.1, TIGR01760, 0.0
NP_076745.1, TIGR02675, 2.9e-18
NP_102108.1, TM-Lam, 2.4
NP_105181.1, TM_Fam3, 7.5
NP_107038.1, TM_Fam5, 0.00092
NP_108209.1, U_TM-PNJ, 0.21
NP_108610.1, U_TM_CT-IMP, 1.4
NP_108613.1, U_TM-PNJ, 2.6e-05
NP_108706.1, U_TM_T4-PMH1, 0.036
NP_108725.1, U_TM_TP-C, 0.0
NP_109788.1, TM_Fam1, 1.1
NP_109878.1, TM_Fam1, 3.1
NP_110087.1, TM-HK97, 0.65
NP_112708.1, U_TM_TP-C, 0.0
NP_116507.1, TIGR01760, 2.1e-27
NP_150175.1, U_TM_TP-C, 0.0
NP_207143.1, U_TM_T4-PS, 5.6
NP_207452.1, TIGR01760, 2.4
NP_215104.1, TM-P2, 3.9
NP_215699.1, TM-P2, 1.5
NP_223321.1, TIGR01760, 0.41
NP_228511.1, U_TM_T4-PS, 7.3
NP_228952.1, TM-P2, 0.022
NP_229228.1, TM-P2, 0.45
NP_240878.1, U_TM_TP-C, 0.16
NP_240988.1, TIGR01541, 0.24
NP_241826.1, TM-SPP1, 6.3e-16
NP_241872.1, TM-P2, 5.6
NP_243205.1, TM-Lam, 1.2
NP_244385.1, TIGR02675, 0.65
NP_245417.1, TIGR02675, 2.4
NP_246629.1, TIGR01760, 0.067
NP_249316.1, TIGR01760, 0.11
NP_249327.1, U_TM_CT-IMP, 2.3000000000000002e-29
NP_251081.1, TM_Fam1, 4.6
NP_252356.1, U_TM-PNJ, 6.8
NP_266635.1, TIGR02675, 5.5e-18
NP_267205.1, U_TM_CT-IMP, 0.0
NP_267544.1, TIGR01760, 0.0
NP_267858.1, U_TM_T4-PS, 6.6
NP_268933.1, U_TM_TP-C, 1.3e-21
NP_269176.1, TIGR02675, 0.00022
NP_269531.1, U_TM_TP-C, 2.9e-30
NP_273235.1, U_TM_T4-RSM, 4.0
NP_274139.1, TM-SuMu, 0.0
NP_286326.1, U_TM-PNJ, 8.8
NP_286523.1, U_TM_CT-IMP, 0.0
NP_286895.1, TIGR02675, 5.0000000000000005e-21
NP_287302.1, TIGR02675, 6.4e-21
NP_287381.1, U_TM-PNJ, 0.0
NP_287390.1, U_TM_CT-IMP, 0.0
NP_287594.1, U_TM-PNJ, 0.0
NP_287786.1, TM_Fam3, 0.0
NP_287787.1, U_TM-PNJ, 0.0
NP_287971.1, U_TM_CT-IMP, 0.0
NP_288365.1, TM_Fam1, 0.0
NP_288446.1, U_TM-PNJ, 0.0
NP_288651.1, U_TM_CT-IMP, 0.0
NP_297811.1, TM_Fam1, 1.7e-20
NP_298020.1, TM_Fam1, 0.0
NP_298648.1, U_TM_T4-PSSM2, 0.94
NP_298876.2, TM_Fam1, 9.9e-41
NP_298981.2, TM_Fam1, 1.1e-40
NP_299760.1, TM_Fam1, 0.0
NP_300039.1, TM_Fam1, 1e-05
NP_308665.1, U_TM-PNJ, 8.8
NP_308864.1, U_TM_CT-IMP, 0.0
NP_309141.1, U_TM-PNJ, 0.0
NP_309670.1, U_TM-PNJ, 0.0
NP_309830.1, U_TM_CT-IMP, 0.0
NP_310010.1, U_TM_CT-IMP, 0.0
NP_310193.1, U_TM-PNJ, 0.0
NP_310267.1, U_TM_CT-IMP, 0.0
NP_310976.1, U_TM-PNJ, 0.0
NP_313009.1, TIGR02675, 9.5e-16
NP_326144.1, U_TM_TP-C, 9.5
NP_335029.1, TM-P2, 4.3
NP_335663.1, TM-P2, 1.5
NP_345080.1, TIGR01760, 0.26
NP_345140.1, U_TM_T4-CPX, 0.0018
NP_346707.1, TM-SPP1, 4.3e-25
NP_347451.1, TM-P2, 1.0
NP_347545.1, TM-P2, 0.6
NP_347754.1, TIGR01760, 0.0
NP_348507.1, TIGR01760, 0.0
NP_349890.1, U_TM_T4-CPX, 0.051
NP_358082.1, TIGR01760, 0.44
NP_358148.1, U_TM_T4-CPX, 0.0022
NP_370806.1, TM_Fam1, 0.62
NP_371425.1, U_TM_TP-C, 0.0
NP_372479.1, TIGR01760, 0.0
NP_373517.1, TM_Fam1, 0.62
NP_375064.1, TIGR01760, 0.0
NP_385452.1, TM-Lam, 0.62
NP_386866.1, U_TM-PNJ, 1.1
NP_388163.1, U_TM_T4-CPX, 1.0
NP_389150.2, U_TM_CT-IMP, 0.076
NP_389516.1, U_TM_T4-PS, 3.4
NP_389767.2, TM-P2, 1.4
NP_390018.2, TIGR01760, 0.0
NP_390153.2, U_TM_T4-CPX, 6.3
NP_390480.2, U_TM_CT-IMP, 0.0
NP_390839.1, TM-SPP1, 6.0
NP_391069.2, TM_Fam1, 5.0
NP_421575.1, TM_Fam3, 0.0001
NP_438154.1, U_TM_TP-C, 1.3e-21
NP_439664.1, TIGR02675, 1.1e-20
NP_442654.1, U_TM_T4-CPX, 1.2
NP_459895.1, U_TM_CT-IMP, 0.0
NP_460016.1, U_TM_CT-IMP, 0.0
NP_461530.1, U_TM_CT-IMP, 0.0
NP_461625.1, TIGR01760, 0.0
NP_463076.1, TIGR01760, 5.8e-28
NP_463477.1, TIGR02675, 2.4e-16
NP_484225.1, TM-P2, 2.0
NP_485324.1, TM_Fam1, 0.37
NP_486023.1, U_TM_T4-Syn9, 0.8
NP_487933.1, TM-Lam, 9.3
NP_490625.1, TIGR01760, 0.0
NP_510947.1, TMP, 7.2
NP_510993.1, U_TM_CT-IMP, 1.96e-44
NP_518994.1, U_TM_CT-DMS3, 0.0
NP_519612.1, TIGR01760, 0.32
NP_519811.1, U_TM-PNJ, 0.0
NP_520035.1, U_TM_TP-C, 0.18
NP_520599.1, TM-phiC2, 0.072
NP_536371.1, U_TM_CT-DMS3, 3.7e-32
NP_536663.1, TIGR01760, 3.5000000000000004e-32
NP_536834.1, TM_Fam1, 1.6e-28
NP_543099.1, TM_Fam1, 0.0
NP_562046.1, U_TM_CT-IMP, 0.0
NP_563223.1, TM-P2, 0.96
NP_569753.1, U_TM_CT-DMS3, 0.0
NP_599046.1, TIGR01760, 0.0
NP_606632.1, TIGR01760, 0.0
NP_606936.1, TIGR01760, 0.0
NP_607365.1, TIGR02675, 0.00012
NP_607787.1, U_TM_TP-C, 1.3e-21
NP_612842.1, U_TM_CT-IMP, 0.0
NP_622168.1, TM-phiC2, 0.39
NP_626045.1, TM_Fam10, 7.1
NP_638340.1, U_TM_TP-C, 0.0
NP_645073.1, TM_Fam1, 0.62
NP_646207.1, TM_Fam1, 0.0
NP_646712.1, TM_Fam1, 0.0
NP_662820.1, TM-Lam, 8.0
NP_663684.1, U_TM_TP-C, 0.0
NP_664526.1, TIGR01760, 0.0
NP_664736.1, TIGR01760, 0.0
NP_664908.1, U_TM_TP-C, 5.8e-29
NP_665021.1, U_TM_TP-C, 1.3e-21
NP_665225.1, TM-SPP1, 1.6000000000000001e-37
NP_665940.1, TM-Lam, 6.8e-09
NP_668148.1, TM_Fam1, 0.44
NP_669507.1, U_TM-PNJ, 0.0
NP_670242.1, TM_Fam1, 2.5e-09
NP_680494.1, TM_Fam1, 0.0
NP_682008.1, TM-phiC2, 8.5
NP_687577.1, TM-HK97, 0.78
NP_687623.1, U_TM_TP-C, 0.0
NP_688834.1, U_TM_CT-IMP, 0.0
NP_690686.2, U_TM_TP-C, 0.0
NP_690769.1, TM_Fam1, 0.0
NP_690770.1, TM-SPP1, 0.0017
NP_691134.1, TM-SPP1, 8e-40
NP_692232.1, TM_Fam1, 2.4
NP_692850.1, TM-HK97, 3.4
NP_695070.1, U_TM_TP-C, 0.0
NP_695118.1, TIGR02675, 1.2e-05
NP_695158.1, TIGR02675, 0.00012
NP_695581.1, U_TM_TP-C, 4.8e-24
