,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,31
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037673.1,TT_Fam2,TT_Fam2,0,175.7,1,165,0,1,1,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037706.1,Phage_tail_2,Phage_tail_2,0.25,19.9,41,142,1,1,1,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037706.1,CF-HK97,CF-HK97,0.0033,25.3,16,143,1,1,1,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037706.1,TT_Fam2,TT_Fam2,0,54.6,4,108,1,1,1,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037706.1,TT_Fam2,TT_Fam2,0,54.6,84,146,1,0,1,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037706.1,TT_Fam4,TT_Fam4,0.000033,32,17,140,0,0,0,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037717.1,TT_Fam13,TT_Fam13,2.3,16,499,567,0,1,1,
,,Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038332.1,Phage_tail,Phage_tail,0,280.2,1,200,1,0,1,
,,Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038332.1,TIGR01603,TIGR01603,0.000002,35.9,26,194,0,0,0,
,,Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039687.1,TT_Fam8,TT_Fam8,0,220.5,1,191,0,1,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040592.1,Phage_tail_2,Phage_tail_2,7.3,15.1,48,165,1,1,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040592.1,Phage_tail_2,Phage_tail_2,7.3,15.1,147,246,1,1,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040592.1,CF-HK97,CF-HK97,0.0089,23.9,6,154,1,1,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040592.1,CF-HK97,CF-HK97,0.0089,23.9,189,245,1,0,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040592.1,TT_Fam1,TT_Fam1,0,346.4,1,246,0,0,0,
