Prot RefSeq, Name, E Value
NP_038336.1, Bl-MGAS315, 0.0
NP_038339.1, Bl-MGAS315, 0.0
NP_049406.1, Bl-MGAS315, 0.0
NP_049937.1, Bl-MGAS315, 0.0
NP_049980.1, Bl-MGAS315, 0.0
NP_050162.1, BH-SPP1, 0.0
NP_050163.1, BH-SPP1, 1.3
NP_056691.1, Bl-MGAS315, 0.0
NP_056694.1, Bl-MGAS315, 0.0
NP_058458.1, BH-SPP1, 0.0
NP_061643.1, BH-SPP1, 0.0
NP_075515.1, BH-phiETA, 0.0
NP_076626.1, BH-SPP1, 3.8e-37
NP_076688.1, Bl-MGAS315, 0.0
NP_076691.1, Bl-MGAS315, 0.0
NP_076748.1, Bl-MGAS315, 0.0
NP_108727.1, BH-SPP1, 0.0
NP_112710.1, BH-SPP1, 0.0
NP_116510.1, Bl-MGAS315, 0.0
NP_150177.1, Bl-MGAS315, 0.0
NP_240880.1, BH-Giles, 0.0
NP_241828.1, BH-Lb338, 4.3e-18
NP_243822.1, BH-Lb338, 9.5
NP_244382.1, BH-Giles, 0.0
NP_266637.1, Bl-MGAS315, 0.0
NP_267207.1, BH-SPP1, 3.8e-37
NP_267539.1, Bl-MGAS315, 0.0
NP_267542.1, Bl-MGAS315, 0.0
NP_268935.1, BH-SPP1, 3.600000000000001e-21
NP_269178.1, BH-SPP1, 3e-18
NP_269529.1, BH-SPP1, 3.6e-39
NP_346709.1, BH-SPP1, 0.0
NP_347752.1, BH-Lb338, 0.009
NP_348503.1, BH-SPP1, 0.0
NP_371427.1, BH-Giles, 0.0
NP_372477.1, BH-SPP1, 0.0
NP_375062.1, BH-SPP1, 0.0
NP_386783.1, BH-Giles, 9.1
NP_438156.1, BH-SPP1, 3e-22
NP_459289.1, BH_Fam3, 6.9
NP_459290.1, BH_Fam3, 0.29
NP_463479.1, BH-phiETA, 0.0
NP_510949.1, BH-phiETA, 0.0
NP_510995.1, BH-SPP1, 0.0
NP_562048.1, BH-SPP1, 0.0
NP_606634.1, BH-SPP1, 1.4e-16
NP_606938.1, BH-SPP1, 6.1e-18
NP_607362.1, BH-SPP1, 4e-17
NP_607534.1, BH-SPP1, 2.3e-39
NP_612844.1, BH-SPP1, 0.0
NP_646205.1, BH-phiETA, 0.0
NP_646710.1, BH-SPP1, 0.0
NP_663686.1, BH-SPP1, 0.0
NP_663688.1, Bl-MGAS315, 0.095
NP_664528.1, BH-SPP1, 1.5e-16
NP_664734.1, BH-SPP1, 8.1e-18
NP_664906.1, BH-SPP1, 4.2999999999999997e-38
NP_665019.1, BH-SPP1, 3e-22
NP_665115.1, Bl-MGAS315, 0.0
NP_665223.1, BH-phiETA, 0.0
NP_680496.1, Bl-MGAS315, 5.7e-23
NP_687625.1, Bl-MGAS315, 0.0
NP_688832.1, BH-SPP1, 8.600000000000001e-32
NP_690694.2, BH-Lb338, 0.0
NP_690772.1, BH-phiETA, 0.0
NP_690773.1, BH-SPP1, 5.1000000000000005e-43
NP_691136.1, BH-Lb338, 1.2e-05
NP_692964.1, BH-phiETA, 1.3
NP_695072.1, BH-Giles, 0.0
NP_695120.1, Bl-MGAS315, 0.0
NP_695123.1, Bl-MGAS315, 0.0
NP_695157.1, BH-SPP1, 0.0
NP_737466.1, BH-Giles, 0.13
NP_782155.1, BH-SPP1, 0.0
NP_801708.1, BH-phiETA, 7.2e-08
NP_801812.1, Bl-MGAS315, 0.0
NP_802024.1, BH-SPP1, 4.2999999999999997e-38
NP_803297.1, BH-Giles, 0.0
NP_803348.1, BH-phiETA, 0.0
NP_803398.1, BH-SPP1, 0.0
NP_813705.1, BH-Giles, 2.3
NP_814142.1, BH-Giles, 0.0
NP_815013.1, BH-SPP1, 3.9e-34
NP_815671.1, BH-SPP1, 2.7e-40
NP_815753.1, Bl-MGAS315, 2.9
NP_816434.1, BH-SPP1, 6e-22
NP_817802.1, BH-Lb338, 0.0036
NP_826683.1, BH-Giles, 0.0
NP_831679.1, BH-SPP1, 0.0
NP_832187.1, BH-SPP1, 3.2e-08
NP_832354.1, BH-SPP1, 2.8e-44
NP_835566.1, BH-SPP1, 0.0
NP_839936.1, Bl-MGAS315, 0.0
NP_843020.1, BH-SPP1, 0.0
NP_846029.1, BH-SPP1, 0.0
NP_846317.1, BH-SPP1, 0.0
NP_846673.1, BH-SPP1, 9.8
NP_862890.1, Bl-MGAS315, 0.0
NP_943819.1, BH-Lb338, 0.012
NP_954357.1, BH-Lb338, 0.016
NP_958548.1, BH-SPP1, 8.8e-06
NP_958617.1, BH-SPP1, 0.0
NP_965225.1, BH-SPP1, 8.8e-06
NP_976739.1, BH-Giles, 0.0
NP_996717.1, BH-Giles, 0.0
YP_001004318.1, BH-Giles, 0.0
YP_001004386.1, BH-phiETA, 0.0
