Prot RefSeq, Name, E Value
NP_037684.1, Phage-tail_3, 0.0
NP_037717.1, Phage-tail_3, 0.0
NP_040600.1, CF-Lam, 0.0
NP_046916.1, Phage-tail_3, 0.0
NP_049523.1, CF-HK97, 0.0
NP_050561.1, CF-HK97, 0.0
NP_061522.1, Phage-tail_3, 2.3e-06
NP_229139.1, CF-HK97, 1.2
NP_249319.1, Phage-tail_3, 0.28
NP_249332.1, Phage-tail_3, 1.8e-25
NP_286528.1, CF-Lam, 0.0
NP_286902.1, CF-Lam, 0.0
NP_286997.1, CF-HK97, 0.0
NP_287392.1, Phage-tail_3, 0.00031
NP_287393.1, CF-Lam, 0.0
NP_287599.1, CF-Lam, 0.0
NP_287778.1, CF-Lam, 0.0
NP_287966.1, CF-Lam, 0.0
NP_287967.1, Phage-tail_3, 0.0004
NP_288441.1, CF-Lam, 0.0
NP_288645.1, CF-Lam, 0.0
NP_297816.1, Phage-tail_3, 0.0
NP_299394.1, Phage-tail_3, 0.0
NP_308869.1, CF-Lam, 0.0
NP_309148.1, CF-Lam, 0.0
NP_309260.1, CF-HK97, 0.0
NP_309675.1, CF-Lam, 0.0
NP_309833.1, CF-Lam, 0.0
NP_310017.1, CF-Lam, 0.0
NP_310188.1, CF-Lam, 0.0
NP_421569.1, Phage-tail_3, 0.0
NP_459902.2, CF-Lam, 0.0
NP_460023.1, Phage-tail_3, 4.4e-32
NP_460160.1, Phage-tail_3, 2.1
NP_461525.1, CF-Lam, 2e-35
NP_519819.1, Phage-tail_3, 8.4e-28
NP_536377.1, Phage-tail_3, 1.3e-28
NP_612912.1, CF-HK97, 0.0
NP_669498.1, Phage-tail_3, 1.3e-18
NP_718509.1, Phage-tail_3, 3.8000000000000003e-29
NP_743736.1, Phage-tail_3, 3.9e-09
NP_753375.1, CF-Lam, 0.0
NP_753498.1, CF-Lam, 0.0
NP_755036.1, CF-Lam, 0.0
NP_778987.1, Phage-tail_3, 0.0
NP_781501.1, CF-933W, 0.032
NP_791912.1, CF-HK97, 1.1e-26
NP_793803.1, CF-HK97, 1.1e-26
NP_805505.1, Phage-tail_3, 2.1
NP_822551.1, Phage-tail_3, 7.3
NP_836424.1, CF-Lam, 0.0
NP_858969.1, Phage-tail_3, 0.12
NP_872760.1, Phage-tail_3, 2.5e-20
NP_873090.1, Phage-tail_3, 5.4e-18
NP_873972.1, Phage-tail_3, 5.3e-18
NP_892067.1, Phage-tail_3, 0.0
NP_918976.1, Phage-tail_3, 3.1e-16
NP_938260.1, Phage-tail_3, 1.9000000000000003e-21
NP_945050.1, Phage-tail_3, 3.8e-28
NP_945160.1, CF-Lam, 3.8e-25
