,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,75
,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037672.1,TR-SPP1,TR-SPP1,9.10E-16,66.5,4,115,0,0,0,
,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037705.1,TR-SPP1,TR-SPP1,0,53.6,5,111,0,0,0,
,Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038331.1,TR-Sfi21,TR-Sfi21,1.70E-43,156,1,123,0,0,0,
,Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039686.1,TR-Che8,TR-Che8,0.0041,25.7,6,135,0,0,0,
,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040591.1,TR-Lam,TR-Lam,0,211.1,1,131,0,0,0,
,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043490.1,TR-P2,TR-P2,6.70E-33,121.8,1,140,0,0,0,
,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046768.1,TR-P2,TR-P2,2.40E-38,139.4,1,131,0,0,0,
,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046838.1,TR-Che8,TR-Che8,0.013,24,6,135,0,0,0,
,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046907.1,TR-Lam,TR-Lam,0,223.7,1,132,0,0,0,
,Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049400.1,TR-Sfi21,TR-Sfi21,2.10E-42,152.4,1,123,0,1,1,
,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049774.1,TR-T4,TR-T4,0,238.3,1,201,1,0,1,
,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049774.1,U_T4-gp15_tss,U_T4-gp15_tss,0,477.2,1,234,0,0,0,
,Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049975.1,TR-Sfi21,TR-Sfi21,1.80E-40,146.2,1,123,0,0,0,
,Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050155.1,TR-Sfi21,TR-Sfi21,0.000061,31.5,1,119,0,0,0,
,Enterobacteria phage Mu,Escherichia coli,neg,NC_000929,NP_050641.1,TR-Mu,TR-Mu,1.40E-42,153.9,1,179,0,0,0,
