Prot RefSeq, Name, E Value
NP_037679.1, LK-mEp235, 3.7e-20
NP_037713.1, LK-mEp235, 3.8e-20
NP_038345.1, LK-HK97, 0.35
NP_040598.1, LK-mEp235, 0.0
NP_046914.1, LK-mEp235, 3.4e-20
NP_049413.1, LK-HK97, 0.4
NP_049942.1, LK-HK97, 0.53
NP_049985.1, LK-HK97, 0.54
NP_050160.1, LK-HK97, 0.0
NP_056699.1, LK-HK97, 1.2
NP_076634.1, LK-HK97, 0.0055
NP_076695.1, LK-HK97, 0.007
NP_076751.1, LK-HK97, 0.0047
NP_102711.1, LK-mEp235, 0.29
NP_106238.1, LK-HK97, 0.0
NP_106739.1, LK-mEp235, 0.0
NP_116519.1, LK-HK97, 0.005
NP_203486.1, LK-HK97, 0.00049
NP_206887.1, LK-HK97, 1.8e-18
NP_214106.1, LK-mEp235, 1.8
NP_214163.1, LK-mEp235, 4.3000000000000006e-21
NP_214538.1, LK-HK97, 1.1e-18
NP_215850.1, LK-mEp235, 1.4000000000000002e-21
NP_215993.1, LK-HK97, 2.8e-28
NP_215994.1, LK-HK97, 1.5e-28
NP_216082.1, LK-HK97, 5.8e-24
NP_216706.1, LK-HK97, 2e-20
NP_219630.1, LK-HK97, 0.0
NP_222802.1, LK-HK97, 1.6e-18
NP_224454.1, LK-HK97, 0.0
NP_225094.1, LK-HK97, 4.0
NP_228794.1, LK-HK97, 0.65
NP_229357.1, LK-mEp235, 0.27
NP_243873.1, LK-HK97, 1.1e-22
NP_243898.1, LK-mEp235, 0.18
NP_244538.1, LK-HK97, 4.6e-30
NP_245564.1, LK-HK97, 1.1e-28
NP_249330.1, LK-mEp235, 2.5e-19
NP_249889.1, LK-HK97, 2.7000000000000002e-27
NP_249890.1, LK-HK97, 2.2000000000000002e-27
NP_250535.1, LK-HK97, 0.5
NP_250792.1, LK-mEp235, 0.0
NP_252162.1, LK-HK97, 1.3e-29
NP_253180.1, LK-HK97, 0.24
