Name, Total #hits, <0.001, Unique hits
TM_Fam5, 111, 27, 96
U_TM_T4-PS, 143, 35, 101
U_TM_T4-PMH1, 56, 13, 44
TM_Fam9, 89, 18, 75
TM-HK97, 284, 146, 188
U_TM_T4-Syn9, 52, 41, 40
TM_Fam12, 51, 19, 41
TM_Fam10, 92, 36, 70
TM_Fam15, 41, 18, 28
U_TM_T4-RSM, 40, 4, 36
U_TM2675motif, 90, 29, 53
TM_Fam13, 59, 39, 34
TM_Fam3, 729, 526, 392
TIGR02675, 1006, 595, 782
TM-phiC2, 140, 83, 85
U_TM_CT-DMS3, 217, 161, 164
U_TM-PNJ, 401, 297, 376
U_TM_T4-PSSM2, 41, 1, 38
TM_Fam16, 37, 12, 27
U_TM_T4-CPX, 357, 15, 336
U_TM_T4-Aeh, 24, 13, 14
TM-Lam, 1092, 562, 699
TM-SPP1, 1032, 830, 497
TM-DMS3, 192, 136, 122
TM-T4, 79, 41, 59
TM-P2, 2142, 1397, 1506
TM_Fam1, 1180, 570, 874
TM_Fam14, 44, 20, 23
TIGR01760, 1813, 1410, 1202
TM-SuMu, 55, 48, 43
U_TM_CT-IMP, 397, 307, 375
U_TM_ViI, 87, 10, 62
TIGR01541, 657, 558, 517
TM_Fam7, 90, 29, 77
U_TM_TP-C, 1487, 624, 434
TMP, 204, 0, 20
