Name, Total #hits, <0.001, Unique hits
L_lac_phage_MSP, 69, 42, 40
DUF2001, 161, 124, 147
DUF2597, 69, 50, 63
CF-HK97, 470, 119, 339
TT_Fam13, 176, 76, 156
TT_Fam19, 35, 8, 31
TT_Fam4, 204, 126, 185
TT_Fam12, 83, 27, 60
TIGR02126, 295, 212, 293
TT_Fam8, 109, 78, 108
TT_Fam9, 162, 110, 121
TIGR01603, 374, 340, 371
Phage_T4_gp19, 581, 525, 565
DUF3277, 110, 58, 104
TT_Fam10, 141, 98, 114
TT_Fam15, 70, 38, 61
TT_Fam23, 28, 1, 16
TT_Fam2, 342, 210, 220
Phage_tail_2, 592, 268, 534
TT_Fam14, 124, 53, 83
TT_Fam17, 54, 23, 51
TT_Fam1, 689, 480, 487
TT_Fam16, 97, 4, 56
TT_Fam6, 149, 110, 139
TT_Fam7, 141, 74, 118
TT_Fam22, 46, 35, 21
Phage_tube, 375, 371, 369
TT_Fam5, 228, 135, 160
Phage_tail, 241, 121, 231
TT_Fam18, 34, 15, 32
Tail_tube, 237, 93, 173
TT_Fam21, 21, 16, 21
TT_Fam20, 25, 17, 23
TT_Fam3, 145, 99, 128
