Prot RefSeq, Name, E Value
NP_038335.1, DT-V583, 0.0
NP_039691.1, DT-Che8, 7.6e-27
NP_046583.1, DT-V583, 1.2e-09
NP_046843.1, DT-Che8, 3.7e-27
NP_047935.1, DT-SPP1, 0.54
NP_049405.1, DT-V583, 0.0
NP_049936.1, DT-V583, 0.0
NP_049979.1, DT-V583, 0.0
NP_050161.1, DT-SPP1, 0.00016
NP_056690.1, DT-V583, 0.0
NP_058456.1, DT-SPP1, 0.0082
NP_058457.1, DT-SPP1, 2.7e-22
NP_061642.1, DT-SPP1, 1.2e-31
NP_075290.1, DT-Che8, 8.4e-34
NP_075514.1, DT-SPP1, 0.0
NP_076625.1, DT-SPP1, 9.4e-09
NP_076687.1, DT-V583, 0.0
NP_076747.1, DT-V583, 0.0
NP_108726.1, DT-V583, 0.0
NP_112709.1, DT-V583, 0.0
NP_116508.1, DT-V583, 0.0
NP_150176.1, DT-V583, 0.0
NP_240879.1, DT-V583, 3.6e-41
NP_240881.1, DT-RSL1, 0.032
NP_240882.1, DT-RSL1, 0.00041
NP_241827.1, DT-V583, 4.5e-35
NP_244381.1, DT-RSL1, 8.3e-07
NP_244384.1, DT-V583, 1.7e-40
NP_266636.1, DT-V583, 0.0
NP_267206.1, DT-SPP1, 4.9e-08
NP_267543.1, DT-V583, 0.0
NP_268934.1, DT_Fam3, 1.5e-19
NP_269177.1, DT_Fam4, 0.0
NP_269530.1, DT_Fam3, 0.0011
NP_269575.1, DT-RSL1, 5.9
NP_287330.1, DT_Fam4, 3.9
NP_309614.1, DT_Fam4, 3.9
NP_346708.1, DT_Fam3, 3.9e-31
NP_348506.1, DT-SPP1, 0.012
NP_371426.1, DT-SPP1, 4.5e-41
NP_372478.1, DT-SPP1, 2.5000000000000003e-37
NP_375063.1, DT-SPP1, 4.5e-37
NP_390019.1, DT-V583, 1.2e-09
NP_438155.1, DT_Fam3, 1.4e-19
NP_463478.1, DT-SPP1, 2.6000000000000002e-37
NP_510948.1, DT-SPP1, 2.6e-33
NP_510994.1, DT-SPP1, 2.5000000000000002e-22
NP_562047.1, DT-V583, 1.2e-18
NP_569754.1, DT-Che8, 1.9e-41
NP_603789.1, DT_Fam5, 7.4
NP_606633.1, DT_Fam4, 1e-34
NP_606937.1, DT_Fam3, 1.7e-18
NP_607363.1, DT_Fam4, 0.0
NP_607535.1, DT_Fam3, 0.0066
NP_607587.1, DT-RSL1, 5.9
NP_607786.1, DT_Fam3, 5.3e-20
NP_612843.1, DT-V583, 1.7e-34
NP_635420.1, DT-Che8, 1.2
NP_644864.1, DT_Fam5, 2.8
NP_646206.1, DT-SPP1, 2e-31
NP_646711.1, DT-SPP1, 7.4e-33
NP_663685.1, DT-V583, 0.0
NP_664527.1, DT_Fam4, 1e-34
NP_664735.1, DT_Fam3, 9.3e-23
NP_664907.1, DT_Fam3, 0.0064
NP_664957.1, DT-RSL1, 6.0
NP_665020.1, DT_Fam3, 1.4e-19
NP_665116.1, DT-V583, 0.0
NP_665224.1, DT-SPP1, 4.7999999999999993e-23
NP_680495.1, DT-V583, 0.0
NP_687624.1, DT-V583, 0.0
NP_688833.1, DT_Fam3, 0.0
NP_690690.1, DT-V583, 2.2e-37
NP_690771.1, DT-SPP1, 2.8e-29
NP_691135.1, DT-V583, 4.2e-27
NP_695071.1, DT-SPP1, 1.1e-06
NP_695119.1, DT-V583, 0.0
NP_721016.1, DT-RSL1, 7.0
NP_721794.1, DT-V583, 0.51
NP_737465.1, DT-Che8, 2.2e-05
NP_753406.1, DT_Fam4, 3.4
NP_765403.1, DT-V583, 1.5
NP_768132.1, DT-V583, 5.1
NP_782156.1, DT_Fam3, 8.5e-05
NP_801707.1, DT-SPP1, 4.7999999999999993e-23
NP_801811.1, DT-V583, 0.0
NP_801907.1, DT_Fam3, 1.4e-19
NP_801971.1, DT-RSL1, 6.0
NP_802023.1, DT_Fam3, 0.0064
NP_802186.1, DT_Fam3, 8e-23
NP_802391.1, DT_Fam4, 1e-34
NP_803296.1, DT-SPP1, 6.7e-42
NP_803347.1, DT-SPP1, 2e-31
NP_803397.1, DT-SPP1, 1.3000000000000001e-32
NP_813703.1, DT-SPP1, 0.051
NP_814141.1, DT-V583, 2.2e-28
NP_815012.1, DT-V583, 0.0
NP_815672.1, DT-SPP1, 1.6e-06
NP_816435.1, DT_Fam3, 0.24
NP_817353.1, DT-Che8, 1.8e-25
NP_817473.1, DT-Che8, 2.6e-29
NP_817616.1, DT-Che8, 1e-34
NP_817693.1, DT-Che8, 1.3e-27
NP_817909.1, DT-Che8, 7.6e-32
NP_817991.1, DT-Che8, 3.5e-28
NP_818336.1, DT-Che8, 8.9e-33
NP_826684.1, DT_Fam4, 5.600000000000001e-21
NP_832187.1, DT-V583, 2.8e-30
NP_832353.1, DT-SPP1, 8.5e-09
NP_835565.1, DT-SPP1, 4.5e-37
NP_839935.1, DT-V583, 0.0
NP_843017.1, DT-V583, 5.7e-38
NP_846318.1, DT-V583, 0.0
NP_852966.2, DT_Fam5, 3.2
NP_862889.1, DT_Fam3, 0.0024
NP_871097.1, DT-V583, 6.2
NP_901336.1, DT-RSL1, 6.8
NP_924204.1, DT-Che8, 5.9
NP_958616.1, DT-SPP1, 2.3e-37
NP_976738.1, DT-Che8, 2.1e-22
NP_996716.1, DT-SPP1, 3.8e-06
YP_001004317.1, DT-SPP1, 6.9e-42
YP_001004385.1, DT-SPP1, 8.1e-38
YP_001033342.1, DT-SPP1, 6.1e-08
YP_001033343.1, DT-V583, 9.9e-41
YP_001034740.1, DT_Fam4, 5.0
YP_001038031.1, DT-RSL1, 0.0
YP_001038032.1, DT-RSL1, 0.0
YP_001038034.1, DT-V583, 1.9e-22
YP_001038122.1, DT_Fam3, 0.0
YP_001039933.1, DT_Fam4, 7.2e-33
YP_001098652.1, DT_Fam5, 9.4
YP_001113932.1, DT-V583, 1.54e-44
YP_001126899.1, DT-RSL1, 6.9e-05
YP_001126900.1, DT-RSL1, 0.092
YP_001126903.1, DT-V583, 3.9e-37
YP_001128100.1, DT_Fam3, 3.7e-20
YP_001128194.1, DT-RSL1, 5.9
YP_001128247.1, DT_Fam3, 0.00067
YP_001128582.1, DT-SPP1, 4.7999999999999993e-23
YP_001128811.1, DT_Fam3, 1.8999999999999998e-23
YP_001141210.1, DT_Fam3, 3.5
YP_001157394.1, DT-Che8, 0.0001
YP_001212727.1, DT-V583, 1.8e-41
YP_001241401.1, DT-SPP1, 7.8
YP_001245738.1, DT-SPP1, 2.1e-33
YP_001246279.1, DT-SPP1, 2.2e-41
YP_001246448.1, DT-SPP1, 2e-31
YP_001247369.1, DT-SPP1, 4.5e-37
YP_001261223.1, DT_Fam4, 9.3
YP_001271447.1, DT-V583, 8.2e-22
YP_001271700.1, DT-SPP1, 1.6999999999999998e-30
YP_001285372.1, DT-SPP1, 3.7999999999999995e-42
YP_001285591.1, DT-Che8, 0.0
YP_001285898.1, DT-V583, 0.0
YP_001297045.1, DT-SPP1, 2.4
YP_001303408.1, DT-SPP1, 0.81
YP_001315514.1, DT-SPP1, 2.1e-33
YP_001316063.1, DT-SPP1, 2.2e-41
YP_001316235.1, DT-SPP1, 2e-31
YP_001317162.1, DT-SPP1, 4.5e-37
YP_001331337.1, DT-SPP1, 8.9e-38
YP_001332063.1, DT-SPP1, 1.1e-41
YP_001332813.1, DT-SPP1, 6.7e-42
YP_001332921.1, DT-SPP1, 3e-37
YP_001355612.1, DT-V583, 5.8
YP_001375814.1, DT-V583, 0.0
YP_001376160.1, DT-V583, 0.0
YP_001383767.1, DT-SPP1, 0.012
YP_001384741.1, DT-V583, 2.5000000000000002e-22
YP_001385257.1, DT-Che8, 2.6e-30
YP_001387317.1, DT-SPP1, 0.012
YP_001391146.1, DT-SPP1, 0.0
YP_001392470.1, DT-V583, 1.8e-23
YP_001396013.1, DT-SPP1, 2.4999999999999998e-23
YP_001408551.1, DT-V583, 7.6
YP_001429952.1, DT-SPP1, 2e-31
YP_001441487.1, DT-SPP1, 4.5e-41
YP_001442530.1, DT-SPP1, 2.5000000000000003e-37
YP_001468403.1, DT-SPP1, 7.1e-39
YP_001468654.1, DT-SPP1, 3.9e-28
YP_001468856.1, DT-V583, 0.0
YP_001468948.1, DT-Che8, 3.8e-10
YP_001469221.1, DT-SPP1, 8e-24
YP_001469248.1, DT-Che8, 1.9e-25
YP_001491595.1, DT-Che8, 9.099999999999999e-34
YP_001491676.1, DT-Che8, 9.2e-34
YP_001551741.1, DT-SPP1, 8.9e-38
