Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038336.1,BH-phiETA,BH-phiETA,0.000000005,44.1,32,399,1,1,1
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038336.1,Bl-MGAS315,Bl-MGAS315,0,828.8,1,421,1,1,1
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038336.1,Bl-MGAS315,Bl-MGAS315,0,828.8,417,503,1,0,1
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038336.1,Bl-MGAS315,Bl-MGAS315,0,828.8,488,568,0,0,0
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038339.1,Bl-MGAS315,Bl-MGAS315,0,921.2,9,658,0,1,1
Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049406.1,Bl-MGAS315,Bl-MGAS315,0,1768.8,1,420,1,1,1
Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049406.1,Bl-MGAS315,Bl-MGAS315,0,1768.8,417,497,1,0,1
Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049406.1,Bl-MGAS315,Bl-MGAS315,0,1768.8,489,914,0,1,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049937.1,Bl-MGAS315,Bl-MGAS315,0,1626.2,1,421,1,1,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049937.1,Bl-MGAS315,Bl-MGAS315,0,1626.2,416,493,1,1,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049937.1,Bl-MGAS315,Bl-MGAS315,0,1626.2,488,601,1,1,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049937.1,Bl-MGAS315,Bl-MGAS315,0,1626.2,744,797,1,0,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049937.1,Bl-MGAS315,Bl-MGAS315,0,1626.2,792,1291,0,1,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049980.1,Bl-MGAS315,Bl-MGAS315,0,1599.5,1,421,1,1,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049980.1,Bl-MGAS315,Bl-MGAS315,0,1599.5,416,493,1,1,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049980.1,Bl-MGAS315,Bl-MGAS315,0,1599.5,488,601,1,1,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049980.1,Bl-MGAS315,Bl-MGAS315,0,1599.5,744,788,1,0,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049980.1,Bl-MGAS315,Bl-MGAS315,0,1599.5,779,1276,0,1,1
Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050162.1,BH-phiETA,BH-phiETA,0.000077,30.4,30,233,1,0,1
Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050162.1,BH-SPP1,BH-SPP1,0,58.4,26,235,0,0,0
Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050163.1,BH-SPP1,BH-SPP1,1.3,16.4,364,496,0,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056691.1,BH-phiETA,BH-phiETA,0.092,20.3,181,599,1,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056691.1,BH-SPP1,BH-SPP1,0.00057,27.5,38,269,1,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056691.1,BH-SPP1,BH-SPP1,0.00057,27.5,696,784,1,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056691.1,Bl-MGAS315,Bl-MGAS315,0,233.7,1,245,1,0,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056691.1,Bl-MGAS315,Bl-MGAS315,0,233.7,648,983,0,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056694.1,Bl-MGAS315,Bl-MGAS315,0,671.9,11,102,1,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056694.1,Bl-MGAS315,Bl-MGAS315,0,671.9,186,236,1,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056694.1,Bl-MGAS315,Bl-MGAS315,0,671.9,233,443,1,0,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056694.1,Bl-MGAS315,Bl-MGAS315,0,671.9,466,695,0,0,0
Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058458.1,BH-SPP1,BH-SPP1,0,277.3,1,273,0,0,0
Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061643.1,BH-SPP1,BH-SPP1,0,325.2,24,337,0,0,0
Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075515.1,BH-phiETA,BH-phiETA,0,329.3,30,495,0,1,1
