,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*,
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037674.1,U_Phage_TAC_13,U_Phage_TAC_13,5.20E-34,124.8,6,109,0,0,0,77
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037707.1,U_Phage_TAC_1,U_Phage_TAC_1,0,175.4,1,123,0,0,0,
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037708.1,U_Phage_TAC_1,U_Phage_TAC_1,0,177.6,1,123,0,0,0,
,,Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038333.1,DUF1268,DUF1268,7.10E-41,147.5,1,117,0,1,1,77
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040593.1,Phage_lambd_GpG,Phage_lambd_GpG,0,193,1,126,1,1,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040593.1,TIGR01674,TIGR01674,0,219.2,1,136,1,0,1,
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040593.1,U_Phage_TAC_1,U_Phage_TAC_1,5.1,15.4,6,102,0,0,0,
,,Lactococcus phage bIL67,Lactococcus,pos,NC_001629,NP_042343.1,DUF3647,DUF3647,8.4,15,2,63,0,0,0,
,,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043497.1,DUF2765,DUF2765,4.30E-26,99,21,102,0,0,0,
,,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046780.1,FluMu_gp41,FluMu_gp41,0,50.6,6,86,0,0,0,
,,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046781.1,FluMu_gp41,FluMu_gp41,0,52,6,86,0,1,1,
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046909.1,Phage_lambd_GpG,Phage_lambd_GpG,0,168,1,126,1,0,1,
,,Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046909.1,TIGR01674,TIGR01674,0,210.3,1,136,0,0,0,
,,Streptomyces phage phiC31,Streptomyces,pos,NC_001978,NP_047932.1,FluMu_gp41,FluMu_gp41,0.42,18.9,13,129,0,0,0,
