Prot RefSeq, Name, E Value
NP_037674.1, U_Phage_TAC_13, 5.2e-34
NP_037707.1, U_Phage_TAC_1, 0.0
NP_037708.1, U_Phage_TAC_1, 0.0
NP_038333.1, DUF1268, 7.1e-41
NP_040593.1, U_Phage_TAC_1, 0.0
NP_042343.1, DUF3647, 8.4
NP_043497.1, DUF2765, 4.3000000000000005e-26
NP_046780.1, FluMu_gp41, 0.0
NP_046781.1, FluMu_gp41, 0.0
NP_046909.1, TIGR01674, 0.0
NP_047932.1, FluMu_gp41, 0.42
NP_049402.1, DUF1268, 5.04e-44
NP_049801.1, TG_Fam1, 1.8e-09
NP_049934.1, DUF1268, 3.2999999999999997e-41
NP_049977.1, DUF1268, 0.0
NP_050645.1, FluMu_gp41, 2.9e-09
NP_056687.1, DUF3647, 2.7000000000000002e-27
NP_058452.1, TH_Fam3, 0.0
NP_061513.1, U_Phage_TAC_13, 6.3e-35
NP_061639.1, TH_Fam3, 0.0
NP_072825.1, DUF3647, 6.3
NP_076623.1, TG_Fam3, 4.600000000000001e-21
NP_076685.1, DUF1268, 2.66e-44
NP_076744.1, DUF1268, 4.6e-38
NP_104077.1, TG_Fam1, 0.59
NP_106459.1, DUF2376, 4.7
NP_107035.1, TG_Fam4, 2.1e-39
NP_108207.1, TG_Fam7, 0.00015
NP_108723.1, DUF3647, 6.0999999999999996e-24
NP_112706.1, DUF3647, 6.0999999999999996e-24
NP_116505.1, DUF1268, 1.96e-44
NP_150173.1, U_TG_Cr, 8.4
NP_207515.1, Phage_Gp14, 3.2
NP_215878.1, DUF2669, 6.5
NP_216282.2, DUF2376, 6.7
NP_219044.1, XkdN, 6.4
NP_219145.1, TG_Fam6, 10.0
NP_223376.1, Phage_Gp14, 7.2
NP_228261.1, TG_Fam1, 1.3
NP_229505.1, TG_Fam5, 9.6
NP_241824.1, DUF3647, 5.6e-17
NP_245552.1, TG_Fam1, 0.71
NP_248921.1, DUF2376, 10.0
NP_249315.1, FluMu_gp41, 3.1e-16
NP_249325.1, U_Phage_TAC_13, 5.7e-19
NP_266634.1, DUF1268, 4.6e-38
NP_267203.1, TG_Fam3, 4.600000000000001e-21
NP_267545.1, DUF1268, 2.66e-44
NP_269174.1, DUF3647, 6.5e-25
NP_274137.1, TG_Fam10, 0.0
NP_286521.1, TIGR01674, 0.0
NP_286893.1, U_Phage_TAC_1, 0.0
NP_287300.1, U_Phage_TAC_1, 0.0
NP_287379.1, TIGR01674, 0.0
NP_287388.1, U_Phage_TAC_1, 2.8e-25
NP_287592.1, U_Phage_TAC_1, 0.0
NP_287789.1, U_Phage_TAC_1, 0.0
NP_287936.1, DUF3356, 4.2
NP_287973.1, U_Phage_TAC_1, 0.0
NP_288367.1, FluMu_gp41, 0.018
NP_288448.1, U_Phage_TAC_1, 0.0
NP_288653.1, U_Phage_TAC_1, 0.0
NP_289897.1, TG_Fam1, 7.4
NP_290207.1, Phage_Gp14, 5.7
NP_298019.1, FluMu_gp41, 1.4e-10
NP_298874.1, DUF2669, 0.0
NP_298979.1, DUF2669, 0.0
NP_299354.1, DUF1789, 8.6
NP_299489.1, TG_Fam7, 0.16
NP_299761.1, FluMu_gp41, 1.4e-10
NP_308862.1, TIGR01674, 0.0
NP_309139.2, U_Phage_TAC_1, 0.0
NP_309577.1, U_Phage_TAC_1, 0.0
NP_309668.1, TIGR01674, 0.0
NP_309828.1, U_Phage_TAC_1, 0.0
NP_309862.1, DUF3356, 4.2
NP_310008.1, U_Phage_TAC_1, 0.0
NP_310195.1, U_Phage_TAC_1, 0.0
NP_310269.1, U_Phage_TAC_1, 0.0
NP_310670.1, FluMu_gp41, 0.018
NP_310755.1, U_Phage_TAC_1, 0.0
NP_310978.1, U_Phage_TAC_1, 0.0
NP_312529.1, Phage_Gp14, 5.7
NP_313008.1, FluMu_gp41, 1.7e-08
NP_326197.1, DUF3647, 3.3
NP_335856.1, DUF2669, 6.5
NP_336272.1, DUF2376, 6.7
NP_346151.1, TG_Fam1, 1.9
NP_347020.1, DUF3647, 0.42
NP_349415.1, TG_Fam5, 4.1
NP_359150.2, TG_Fam1, 1.9
NP_361057.1, TG_Fam9, 9.0
NP_371423.1, DUF3647, 7.6e-25
NP_371970.1, TG_Fam2, 0.94
NP_372229.1, DUF2669, 5.4
NP_372480.1, TH_Fam3, 0.15
NP_372785.1, TIGR01674, 1.6
NP_374560.1, TG_Fam2, 0.94
NP_374815.1, DUF2669, 5.4
NP_375065.1, TH_Fam3, 0.15
NP_375374.1, TIGR01674, 1.6
NP_388341.1, XkdN, 6.0
NP_389149.2, XkdN, 1.9e-39
NP_390278.1, XkdN, 0.42
NP_390815.1, DUF3647, 6.5
NP_415779.1, DUF3356, 2.8
NP_415909.4, TG_Fam1, 8.7
NP_419194.1, TG_Fam1, 0.034
NP_422133.1, TG_Fam1, 8.6
NP_438219.2, TG_Fam1, 5.1
NP_439663.1, FluMu_gp41, 2.9e-06
NP_460014.1, TIGR01674, 0.0
NP_460683.1, DUF3356, 7.2
NP_461532.1, U_Phage_TAC_1, 2.52e-44
NP_461627.1, FluMu_gp41, 0.0
NP_463475.1, Phage_Gp14, 0.0
NP_485108.1, TG_Fam1, 2.1
NP_488352.1, DUF2376, 5.3
NP_490623.1, FluMu_gp41, 1.2e-09
NP_510945.1, DUF3647, 1.6e-33
NP_518381.1, DUF2376, 8.1
NP_518985.1, U_TG_Cr, 2.0
NP_520037.1, FluMu_gp41, 0.0
NP_536369.1, U_Phage_TAC_1, 2e-38
NP_536662.1, DUF2765, 4.1000000000000004e-26
NP_536833.1, DUF2765, 4.3000000000000005e-26
NP_543098.1, FluMu_gp41, 1.2e-06
NP_561263.1, TG_Fam5, 6.1
NP_561462.1, DUF1789, 3.7
NP_563133.1, TG_Fam5, 4.7
NP_599045.1, FluMu_gp41, 0.0
NP_602583.1, DUF3647, 2.4
NP_606631.1, TH_Fam3, 9.5
NP_607367.1, DUF3647, 1e-27
NP_621996.1, DUF3647, 7.0
NP_623425.1, TG_Fam3, 7.6
NP_626813.1, TG_Fam1, 0.34
NP_628425.1, TG_Fam4, 2e-40
NP_637659.1, TG_Fam7, 9.7
NP_638338.1, FluMu_gp41, 0.0
NP_639074.1, TIGR02216, 7.9
NP_639410.1, DUF2376, 9.3
NP_644868.1, DUF1268, 0.35
NP_646152.1, TG_Fam2, 0.94
NP_646465.1, DUF2669, 5.4
NP_646714.1, TH_Fam3, 0.0
NP_646996.1, TIGR01674, 1.6
NP_661011.1, XkdN, 8.2
NP_663682.1, DUF3647, 3.1e-25
NP_664524.1, TH_Fam3, 9.5
NP_665227.1, DUF3647, 2.6e-24
NP_668242.1, TIGR02216, 9.1
NP_668881.1, TG_Fam1, 0.46
NP_669508.1, DUF1789, 3e-24
NP_670243.1, FluMu_gp41, 0.0
NP_683109.1, DUF2765, 6.9
NP_687936.1, TG_Fam1, 0.91
NP_690684.1, DUF3647, 1.6e-29
NP_691132.1, DUF3647, 6.8e-28
NP_692119.1, TG_Fam5, 1.9
NP_695116.1, DUF3647, 2.4000000000000004e-27
NP_696123.1, DUF1789, 2.0
NP_696536.1, TIGR02216, 0.48
NP_716891.1, U_Phage_TAC_13, 8.3
NP_717692.1, TG_Fam1, 5.1
NP_717893.1, TG_Fam1, 3.1
NP_718279.1, FluMu_gp41, 0.0
NP_718524.1, U_Phage_TAC_13, 5.8999999999999995e-24
NP_743731.1, U_Phage_TAC_13, 5.3e-29
NP_744116.1, TIGR02216, 5.8
NP_745205.1, FluMu_gp41, 0.0
NP_745996.1, FluMu_gp41, 0.0
NP_752904.1, FluMu_gp41, 0.0
NP_753367.1, U_Phage_TAC_1, 0.0
NP_753491.1, U_Phage_TAC_1, 0.0
NP_753632.1, DUF3356, 2.1
NP_755044.1, U_Phage_TAC_1, 0.0
NP_755988.1, TG_Fam1, 7.4
NP_758933.1, FluMu_gp41, 2.6e-06
NP_764689.1, TG_Fam2, 0.79
NP_765389.1, TIGR01674, 2.7
NP_765525.1, TG_Fam3, 1.1
NP_779183.1, DUF2669, 0.0
NP_779298.1, FluMu_gp41, 0.0
NP_779390.1, DUF2669, 0.0
NP_779459.1, TG_Fam7, 8.3
NP_781286.1, U_TG_Cr, 2.6
NP_782682.1, XkdN, 2.9e-30
NP_787521.1, TIGR01674, 1.1
NP_789310.1, TIGR01674, 0.73
NP_790426.1, FluMu_gp41, 2.2e-17
NP_791908.1, TG_Fam2, 2.1
NP_793177.1, FluMu_gp41, 6.9e-17
NP_793811.1, TG_Fam2, 3.0
NP_801704.1, DUF3647, 2.6e-24
NP_802394.1, TH_Fam3, 9.5
NP_803293.1, DUF3647, 2e-25
NP_803395.1, TH_Fam3, 0.0
NP_805156.1, FluMu_gp41, 2.4e-17
NP_805414.1, DUF3356, 7.4
NP_806375.1, FluMu_gp41, 0.0
NP_807102.1, FluMu_gp41, 0.0
NP_807708.1, TG_Fam1, 9.0
NP_807896.1, FluMu_gp41, 0.0
NP_809996.1, DUF3647, 4.3
NP_813811.1, TG_Fam1, 2.6e-10
NP_815009.1, DUF3647, 1.6e-22
NP_815095.1, TG_Fam1, 1.4
NP_816437.1, TG_Fam8, 0.0
NP_818247.1, TG_Fam9, 6.2
NP_820589.1, XkdN, 2.6
NP_821557.1, TG_Fam1, 1.4e-16
NP_822231.1, DUF3356, 0.86
NP_824528.1, DUF2376, 8.0
NP_827821.1, DUF3356, 2.1
NP_828253.1, DUF2376, 9.6
NP_831676.1, DUF3647, 3.3e-16
NP_832351.1, TG_Fam5, 0.0
NP_833865.1, XkdN, 0.93
NP_834261.1, TG_Fam6, 3.0
NP_835563.1, TH_Fam3, 0.15
NP_836417.1, TIGR01674, 0.0
NP_836957.1, DUF3356, 2.8
NP_837588.1, FluMu_gp41, 0.00012
NP_839270.1, Phage_Gp14, 5.5
NP_839872.1, FluMu_gp41, 0.0
NP_839873.1, FluMu_gp41, 0.0
NP_839932.1, DUF1268, 5.9999999999999996e-40
NP_842099.1, FluMu_gp41, 1.1e-06
NP_843014.1, TG_Fam3, 1.4e-20
NP_845915.1, U_TG_Cr, 6.8
NP_846033.1, TG_Fam3, 1.4e-18
NP_846606.1, XkdN, 0.92
NP_847000.1, TG_Fam6, 3.6
NP_852767.1, DUF2669, 0.0
NP_858962.1, DUF1789, 0.047
NP_860643.1, DUF1268, 0.98
NP_861892.1, TG_Fam1, 0.0
NP_861893.1, TG_Fam1, 7.4
NP_871031.1, DUF3647, 9.2
NP_871418.1, TG_Fam5, 6.1
NP_873809.1, TG_Fam1, 2.6
NP_875282.1, TG_Fam3, 9.3
NP_892059.1, U_Phage_TAC_14, 2.52e-44
NP_892981.1, TH_Fam3, 4.5
NP_899575.1, TG_Fam1, 0.11
NP_900081.1, FluMu_gp41, 0.0
NP_901143.1, FluMu_gp41, 8.8e-16
NP_901793.1, FluMu_gp41, 0.0
NP_906067.1, TG_Fam8, 2.1
NP_927050.1, TG_Fam4, 1.9e-39
NP_927051.1, TG_Fam1, 3e-38
NP_927079.1, TG_Fam1, 1.7
NP_944564.1, TG_Fam1, 7.4
NP_944899.1, U_TG_Cr, 0.0
NP_945042.1, U_Phage_TAC_1, 3e-38
NP_945158.1, TIGR01674, 2.1e-39
NP_945294.1, XkdN, 1.5e-33
NP_952031.1, TG_Fam4, 4.3e-41
NP_953049.1, FluMu_gp41, 1.2
NP_953126.2, TG_Fam1, 3.5
NP_953173.1, TG_Fam11, 4.0
NP_954230.2, TG_Fam1, 3.4
NP_958078.1, FluMu_gp41, 0.0
NP_958079.1, FluMu_gp41, 0.0
NP_958544.1, DUF3647, 0.014
NP_958591.1, DUF3647, 0.75
NP_958613.1, TH_Fam3, 0.15
NP_964340.1, DUF3647, 0.75
NP_965229.1, DUF3647, 0.014
NP_966344.1, FluMu_gp41, 1.2e-16
NP_971416.1, DUF3647, 1.5
NP_972717.1, DUF2765, 2.7
NP_976735.1, TG_Fam8, 0.0
NP_976744.1, XkdN, 2.8
NP_979904.1, U_TG_Cr, 5.8
NP_980974.1, TG_Fam6, 3.6
NP_992043.1, TIGR02216, 9.1
NP_992276.1, FluMu_gp41, 0.0
NP_993761.1, TG_Fam1, 0.46
YP_001004314.1, DUF3647, 2e-25
YP_001004382.1, DUF3647, 5e-33
YP_001005583.1, TG_Fam1, 3.0
YP_001019444.1, TG_Fam1, 1.8
YP_001031626.1, DUF3647, 0.92
YP_001032171.1, DUF3647, 2.6
YP_001032262.1, DUF1268, 7.3
YP_001033345.1, DUF1268, 1e-38
YP_001034099.1, DUF1268, 3.5
YP_001038039.1, TG_Fam8, 0.0
YP_001038124.1, TG_Fam8, 0.0016
YP_001038352.1, TG_Fam1, 1.9
YP_001038882.1, XkdN, 1.6999999999999998e-38
YP_001039841.1, FluMu_gp41, 3.5e-21
YP_001049683.1, DUF2765, 6.4000000000000005e-27
YP_001050512.1, TG_Fam1, 2.5
YP_001052066.1, FluMu_gp41, 2.0
YP_001053225.1, U_Phage_TAC_13, 7.1
YP_001053769.1, TIGR02216, 3.0
YP_001069230.1, TG_Fam1, 9.499999999999999e-38
YP_001086984.2, TG_Fam1, 2.4
YP_001087435.1, XkdN, 0.0
YP_001087862.1, XkdN, 4.1e-35
YP_001088375.1, TG_Fam1, 0.35
YP_001089423.1, XkdN, 0.0
YP_001091221.1, TH_Fam3, 3.4
YP_001092708.1, TG_Fam10, 0.28
YP_001094160.1, TG_Fam1, 5.7
YP_001095886.1, TG_Fam1, 0.73
YP_001110734.1, XkdN, 2.7999999999999998e-45
YP_001110851.1, DUF1789, 0.00048
YP_001111059.1, FluMu_gp41, 0.0
YP_001111092.1, U_Phage_TAC_1, 2e-39
YP_001111181.1, FluMu_gp41, 0.0
YP_001111215.1, FluMu_gp41, 1.2e-09
YP_001112413.1, TG_Fam1, 1.4
YP_001112573.1, FluMu_gp41, 1.4e-06
YP_001113934.1, TG_Fam8, 9.81e-45
YP_001124556.1, DUF2765, 7.5
YP_001128585.1, DUF3647, 1.3e-24
YP_001133224.1, DUF3356, 4.9
YP_001133852.1, DUF1789, 6.5
YP_001134142.1, DUF3356, 0.74
YP_001141409.1, DUF2765, 9.100000000000001e-32
YP_001143542.1, DUF2765, 9.100000000000001e-32
YP_001157738.1, DUF2376, 2.6
YP_001160021.1, DUF3356, 4.1
YP_001162385.1, DUF1789, 3e-24
YP_001163384.1, TG_Fam1, 0.46
YP_001163797.1, FluMu_gp41, 0.0
YP_001164249.1, TIGR02216, 9.1
YP_001165278.1, FluMu_gp41, 0.0
YP_001167289.1, DUF3356, 7.100000000000001e-33
YP_001167290.1, TIGR02216, 6.300000000000001e-21
YP_001167515.1, TG_Fam2, 1.3e-10
