Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037684.1,CF-HK97,CF-HK97,5.30E-28,105.2,1025,1105,1,0,1
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037684.1,Phage-tail_3,Phage-tail_3,0,61,342,507,0,1,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037717.1,CF-HK97,CF-HK97,1.80E-26,100.3,1025,1105,1,0,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037717.1,Phage-tail_3,Phage-tail_3,0,60.7,342,507,0,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040600.1,CF-HK97,CF-HK97,1.20E-24,94.4,845,925,1,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040600.1,Phage-tail_3,Phage-tail_3,5.80E-37,135.5,330,500,1,0,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040600.1,CF-Lam,CF-Lam,0,266.1,915,1132,0,1,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046916.1,CF-HK97,CF-HK97,0,63.4,904,984,1,0,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046916.1,Phage-tail_3,Phage-tail_3,0,62.9,342,507,0,0,0
Enterobacteria phage 933W,Escherichia coli O157:H7 EDL933,neg,NC_000924,NP_049523.1,CF-HK97,CF-HK97,0,65.6,239,321,0,0,0
Enterobacteria phage VT2-Sakai,Escherichia coli O157:H7,neg,NC_000902,NP_050561.1,CF-HK97,CF-HK97,0,65.6,239,321,0,0,0
Pseudomonas phage D3,Pseudomonas aeruginosa,neg,NC_002484,NP_061522.1,Phage-tail_3,Phage-tail_3,0.0000023,36,631,794,0,1,1
Thermotoga maritima MSB8,0,0,NC_000853,NP_229139.1,CF-HK97,CF-HK97,1.2,17.5,30,73,1,1,1
Thermotoga maritima MSB8,0,0,NC_000853,NP_229139.1,CF-HK97,CF-HK97,1.2,17.5,87,131,1,1,1
Thermotoga maritima MSB8,0,0,NC_000853,NP_229139.1,CF-HK97,CF-HK97,1.2,17.5,144,187,1,0,1
Thermotoga maritima MSB8,0,0,NC_000853,NP_229139.1,CF-HK97,CF-HK97,1.2,17.5,194,248,0,0,0
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249319.1,Phage-tail_3,Phage-tail_3,0.28,19.4,145,282,0,1,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249332.1,CF-HK97,CF-HK97,1.40E-21,84.6,1068,1146,1,0,1
Pseudomonas aeruginosa PAO1,0,0,NC_002516,NP_249332.1,Phage-tail_3,Phage-tail_3,1.80E-25,98.1,337,507,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286528.1,CF-HK97,CF-HK97,5.80E-25,95.4,846,926,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286528.1,Phage-tail_3,Phage-tail_3,1.40E-36,134.3,331,500,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286528.1,CF-Lam,CF-Lam,0,238.2,916,1138,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286902.1,CF-HK97,CF-HK97,7.90E-22,85.4,520,600,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286902.1,Phage-tail_3,Phage-tail_3,1.70E-21,85.2,9,149,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286902.1,CF-Lam,CF-Lam,0,321.3,590,807,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_286997.1,CF-HK97,CF-HK97,0,65.7,224,306,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287392.1,Phage-tail_3,Phage-tail_3,0.00031,29.1,327,374,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287393.1,CF-HK97,CF-HK97,1.40E-24,94.2,496,576,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287393.1,Phage-tail_3,Phage-tail_3,3.00E-20,81.2,1,125,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287393.1,CF-Lam,CF-Lam,0,495.9,566,782,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287599.1,CF-HK97,CF-HK97,3.40E-24,93,872,952,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287599.1,Phage-tail_3,Phage-tail_3,4.30E-34,126.1,330,500,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287599.1,CF-Lam,CF-Lam,0,494.4,942,1158,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287778.1,CF-HK97,CF-HK97,3.60E-22,86.5,691,771,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287778.1,Phage-tail_3,Phage-tail_3,5.30E-34,125.9,150,320,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287778.1,CF-Lam,CF-Lam,0,485.6,761,977,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287966.1,CF-HK97,CF-HK97,1.40E-24,94.2,496,576,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287966.1,Phage-tail_3,Phage-tail_3,3.00E-20,81.2,1,125,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287966.1,CF-Lam,CF-Lam,0,495.9,566,782,0,0,0
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_287967.1,Phage-tail_3,Phage-tail_3,0.0004,28.7,390,437,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288441.1,CF-HK97,CF-HK97,1.20E-21,84.8,872,952,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288441.1,Phage-tail_3,Phage-tail_3,5.30E-33,122.6,330,500,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288441.1,CF-Lam,CF-Lam,0,320.4,942,1159,0,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288645.1,CF-HK97,CF-HK97,9.40E-25,94.8,873,953,1,1,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288645.1,Phage-tail_3,Phage-tail_3,5.00E-35,129.2,330,500,1,0,1
Escherichia coli O157:H7 str. EDL933,0,0,NC_002655,NP_288645.1,CF-Lam,CF-Lam,0,225.9,943,1165,0,0,0
Xylella fastidiosa 9a5c,0,0,NC_002488,NP_297816.1,Phage-tail_3,Phage-tail_3,0,52.2,397,564,0,0,0
Xylella fastidiosa 9a5c,0,0,NC_002488,NP_299394.1,Phage-tail_3,Phage-tail_3,0,52.1,397,564,0,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308869.1,CF-HK97,CF-HK97,5.70E-25,95.4,845,925,1,1,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308869.1,Phage-tail_3,Phage-tail_3,2.40E-37,136.7,330,500,1,0,1
Escherichia coli O157:H7 str. Sakai,0,0,NC_002695,NP_308869.1,CF-Lam,CF-Lam,0,238.2,915,1137,0,1,1
