Species,Host,GC,Gstain,Prot RefSeq,Hmm ID,Name,E value,Score,Start,Stop,Duplicate,DD,
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037707.1,DUF4035,DUF4035,1.70E-20,80.5,159,211,0,0,0
Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039689.1,TH_Fam5,TH_Fam5,4.90E-36,132.2,1,101,0,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040594.1,Phage_tail_T,Phage_tail_T,0,192.6,11,113,1,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040594.1,Phage_tail_T,Phage_tail_T,0,192.6,115,144,1,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040594.1,TIGR01715,TIGR01715,0,189.1,5,111,1,0,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040594.1,TIGR01715,TIGR01715,0,189.1,113,144,0,0,0
Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046780.1,Phage_P2_GpE,Phage_P2_GpE,2.60E-20,79.9,104,142,0,0,0
Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046841.1,TH_Fam5,TH_Fam5,5.20E-34,125.7,1,101,0,1,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046910.1,Phage_tail_T,Phage_tail_T,2.10E-37,136,13,117,1,0,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046910.1,TIGR01715,TIGR01715,0,192.6,7,116,0,1,1
Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049802.1,U_TH_T4,U_TH_T4,7.50E-12,52.9,200,249,1,0,1
Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049802.1,U_TH_Syn-Aeh,U_TH_Syn-Aeh,0.032,22.2,199,249,0,0,0
