Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038335.1,DT-SPP1,DT-SPP1,0,193.8,24,521,1,0,1
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038335.1,DT-V583,DT-V583,0.00000000016,49.3,6,139,0,0,0
Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039691.1,DT-Che8,DT-Che8,7.60E-27,102.4,12,150,0,1,1
Bacillus phage SPbeta,Bacillus subtilis,pos,NC_001884,NP_046583.1,DT-SPP1,DT-SPP1,0.0000000012,46.2,51,252,1,0,1
Bacillus phage SPbeta,Bacillus subtilis,pos,NC_001884,NP_046583.1,DT-V583,DT-V583,1.2,17.3,31,134,0,0,0
Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046843.1,DT-Che8,DT-Che8,3.70E-27,103.5,12,150,0,0,0
Streptomyces phage phiC31,Streptomyces,pos,NC_001978,NP_047935.1,DT-SPP1,DT-SPP1,0.54,17.9,42,288,0,1,1
Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049405.1,DT-SPP1,DT-SPP1,0,200.4,24,518,1,0,1
Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049405.1,DT-V583,DT-V583,0,51.7,6,139,0,1,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049936.1,DT-SPP1,DT-SPP1,0,190.6,21,515,1,0,1
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049936.1,DT-V583,DT-V583,0,51.3,3,134,0,1,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049979.1,DT-SPP1,DT-SPP1,0,192.8,20,515,1,0,1
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049979.1,DT-V583,DT-V583,0.00000000026,48.5,3,134,0,0,0
Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050161.1,DT-SPP1,DT-SPP1,0.00016,29.5,25,245,0,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056690.1,DT-SPP1,DT-SPP1,0,201.7,14,512,1,1,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056690.1,DT-V583,DT-V583,0,53.6,4,70,1,0,1
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056690.1,DT-V583,DT-V583,0,53.6,75,143,0,0,0
Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058456.1,DT-SPP1,DT-SPP1,0.0082,23.8,15,118,0,0,0
Staphylococcus phage PVL,Staphylococcus aureus,pos,NC_002321,NP_058457.1,DT-SPP1,DT-SPP1,2.70E-22,87.7,1,377,0,0,0
Staphylococcus prophage phiPV83,Staphylococcus aureus,pos,NC_002486,NP_061642.1,DT-SPP1,DT-SPP1,1.20E-31,118.3,15,496,0,0,0
Mycobacterium phage Bxb1,Mycobacterium smegmatis,myc,NC_002656,NP_075290.1,DT-Che8,DT-Che8,8.40E-34,124.9,20,152,0,0,0
Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075514.1,DT-SPP1,DT-SPP1,0,59.4,21,191,0,0,0
Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076625.1,DT-SPP1,DT-SPP1,0.0000000094,43.3,28,248,0,1,1
Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076687.1,DT-SPP1,DT-SPP1,0,198.9,16,511,1,0,1
Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076687.1,DT-V583,DT-V583,8.10E-18,72.8,5,127,0,1,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076747.1,DT-SPP1,DT-SPP1,0,198.6,16,511,1,0,1
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076747.1,DT-V583,DT-V583,8.80E-18,72.7,5,127,0,1,1
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108726.1,DT-SPP1,DT-SPP1,0,62.4,37,251,1,0,1
Lactococcus phage Tuc2009,Lactococcus lactis,pos,NC_002703,NP_108726.1,DT-V583,DT-V583,4.20E-36,131.8,24,148,0,1,1
Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112709.1,DT-SPP1,DT-SPP1,0,60.5,37,251,1,0,1
Lactococcus phage TP901-1,Lactococcus lactis,pos,NC_002747,NP_112709.1,DT-V583,DT-V583,3.30E-34,125.7,24,148,0,1,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116508.1,DT-SPP1,DT-SPP1,0,210.8,16,548,1,0,1
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116508.1,DT-V583,DT-V583,8.90E-24,92,5,131,0,1,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150176.1,DT-SPP1,DT-SPP1,0,209.2,15,504,1,0,1
Streptococcus phage MM1,Streptococcus pneumoniae,pos,NC_003050,NP_150176.1,DT-V583,DT-V583,7.60E-35,127.8,5,128,0,1,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240879.1,DT-SPP1,DT-SPP1,3.60E-41,149.5,12,250,1,0,1
Bacillus halodurans C-125,0,0,NC_002570,NP_240879.1,DT-V583,DT-V583,7.50E-39,140.7,2,125,0,0,0
