Prot RefSeq, Name, E Value
NP_037673.1, TT_Fam2, 0.0
NP_037706.1, TT_Fam4, 0.0
NP_037717.1, TT_Fam13, 2.3
NP_038332.1, TIGR01603, 0.0
NP_039687.1, TT_Fam8, 0.0
NP_040592.1, TT_Fam1, 0.0
NP_042317.1, TIGR01603, 0.06
NP_043493.1, DUF2597, 0.0
NP_044957.1, L_lac_phage_MSP, 0.0
NP_046779.1, Phage_tube, 0.0
NP_046839.1, TT_Fam8, 0.0
NP_046908.1, TT_Fam1, 0.0
NP_047930.1, TT_Fam5, 0.059
NP_049401.1, TIGR01603, 0.0
NP_049753.1, Phage_T4_gp19, 0.0
NP_049781.1, Phage_T4_gp19, 0.0
NP_049933.1, TIGR01603, 0.0
NP_049976.1, TIGR01603, 0.0
NP_050156.1, TIGR01603, 0.0
NP_050643.1, Phage_tail_2, 3.3
NP_050644.1, Tail_tube, 2.8999999999999998e-34
NP_052108.1, TT_Fam1, 0.0021
NP_056686.1, TIGR02126, 9.1e-38
NP_058451.1, TIGR01603, 0.0
NP_061512.1, TT_Fam2, 0.0
NP_061638.1, TIGR01603, 4.1000000000000003e-32
NP_075284.1, TT_Fam16, 0.0039
NP_075286.1, TT_Fam8, 0.0
NP_075509.1, TIGR01603, 0.0
NP_076622.1, TIGR01603, 1.5999999999999998e-30
NP_076684.1, TIGR01603, 0.0
NP_076743.1, TIGR01603, 0.0
NP_104409.1, L_lac_phage_MSP, 0.1
NP_107034.1, Phage_T4_gp19, 3.9e-37
NP_107037.1, Phage_T4_gp19, 5.2e-35
NP_108609.1, TT_Fam5, 2.4e-24
NP_108722.1, TIGR02126, 2.0999999999999997e-42
NP_109838.1, Phage_tail, 7.3
NP_112705.1, TIGR02126, 1.5999999999999998e-42
NP_116504.1, TIGR01603, 0.0
NP_150172.1, TT_Fam7, 0.0
NP_206924.1, TIGR02126, 6.1
NP_222835.1, TIGR02126, 6.0
NP_241823.1, TIGR02126, 3e-39
NP_244388.1, TIGR02126, 4.7e-34
NP_245936.1, L_lac_phage_MSP, 2.1
NP_249314.1, Phage_tube, 0.0
NP_249324.1, TT_Fam2, 0.0
NP_266633.1, TIGR01603, 0.0
NP_267202.1, TIGR01603, 1.5999999999999998e-30
NP_267481.1, L_lac_phage_MSP, 6.199999999999999e-24
NP_267546.1, TIGR01603, 0.0
NP_268930.1, TT_Fam7, 9.6e-41
NP_269173.1, TIGR02126, 3.7999999999999995e-23
NP_269534.1, TT_Fam8, 4.1999999999999996e-23
NP_274136.1, TT_Fam17, 0.0
NP_286520.1, TT_Fam1, 0.0
NP_286892.1, TT_Fam4, 1.8e-08
NP_287299.1, TT_Fam4, 3.2e-07
NP_287378.1, TT_Fam1, 0.0
NP_287387.1, TT_Fam4, 1.6e-08
NP_287591.1, TT_Fam1, 0.0
NP_287790.1, TT_Fam1, 0.0
NP_287974.1, TT_Fam4, 3.2e-07
NP_288368.1, Phage_tube, 0.0
NP_288449.1, TT_Fam1, 0.0
NP_288654.1, TT_Fam4, 2.7e-08
NP_297808.1, TT_Fam3, 3.8e-18
NP_298018.1, Phage_tube, 0.0
NP_298873.1, TT_Fam10, 3.4e-19
NP_298978.1, TT_Fam10, 3.4e-19
NP_299762.1, Phage_tube, 0.0
NP_308861.1, TT_Fam1, 0.0
NP_309138.1, TT_Fam1, 0.0
NP_309576.1, TT_Fam4, 1.4e-08
NP_309667.1, TT_Fam1, 0.0
NP_309827.1, TT_Fam4, 4.5e-08
NP_310007.1, TT_Fam4, 1.2e-08
NP_310196.1, TT_Fam1, 0.0
NP_310270.1, TT_Fam4, 1.8e-07
NP_310671.1, Phage_tube, 0.0
NP_310756.2, TT_Fam1, 0.0
NP_310979.1, TT_Fam1, 0.0
NP_313007.1, Tail_tube, 6.1e-36
NP_326133.1, TT_Fam19, 6.8
NP_346703.1, TT_Fam15, 0.0
NP_347190.1, TT_Fam1, 1.1
NP_347191.1, TT_Fam1, 0.76
NP_348017.1, TT_Fam1, 0.17
NP_348189.1, Phage_tail_2, 8.8
NP_348510.1, TIGR01603, 0.0
NP_348726.1, TT_Fam1, 0.059
NP_348983.1, TT_Fam1, 5.7e-05
NP_349686.1, TT_Fam1, 0.00043
NP_349866.1, TT_Fam1, 3.3e-08
NP_349867.1, TT_Fam1, 0.0021
NP_349869.1, TT_Fam1, 3.4e-05
NP_349872.1, TT_Fam1, 0.39
NP_349873.1, TT_Fam1, 0.00064
NP_349874.1, TT_Fam1, 8.9e-06
NP_370530.1, TT_Fam16, 3.1
NP_371422.1, TIGR02126, 0.0
NP_372481.1, TIGR01603, 0.0
NP_372729.1, Tail_tube, 1.1
NP_373244.1, TT_Fam16, 3.2
NP_375066.1, TIGR01603, 0.0
NP_375318.1, Tail_tube, 1.1
NP_389148.1, DUF2001, 0.0
NP_390483.2, DUF2001, 0.0
NP_419018.1, TT_Fam4, 1.1e-05
NP_421577.1, TIGR02126, 2.1e-36
NP_438151.1, TT_Fam7, 0.0
NP_439662.1, Tail_tube, 5.5e-38
NP_459893.1, TT_Fam1, 0.0
NP_460013.1, TT_Fam1, 0.0
NP_461533.1, TT_Fam1, 0.0
NP_461628.1, Phage_tube, 0.0
NP_463077.1, Phage_tube, 0.0
NP_463473.1, TT_Fam7, 0.0
NP_463474.1, TT_Fam1, 0.44
NP_487363.1, Phage_T4_gp19, 0.0
NP_487364.1, Phage_T4_gp19, 7.3e-43
NP_490622.1, Phage_tube, 0.0
NP_510944.1, TIGR02126, 0.096
NP_510991.1, TT_Fam18, 0.0
NP_518159.1, TT_Fam3, 3.9
NP_518984.1, TT_Fam3, 9.4e-43
NP_519810.1, TT_Fam4, 0.0
NP_520038.1, Phage_tube, 0.0
NP_523334.1, TT_Fam1, 0.008
NP_536368.1, TT_Fam4, 0.0
NP_536657.1, DUF2597, 0.0
NP_536829.1, DUF2597, 0.0
NP_543097.1, Tail_tube, 2.8e-40
NP_562043.1, TIGR01603, 0.0
NP_562653.1, TT_Fam19, 9.7
NP_569750.1, TT_Fam6, 0.00013
NP_599044.1, Tail_tube, 2.1e-36
NP_606630.1, TIGR01603, 0.0
NP_606933.1, TIGR01603, 0.0
NP_607368.1, TIGR02126, 6e-19
NP_607542.1, TT_Fam8, 4.1999999999999996e-23
NP_607790.1, TT_Fam7, 0.0
NP_612840.1, TIGR01603, 0.0
NP_638337.1, Phage_tube, 0.0
NP_644821.1, TT_Fam16, 3.1
NP_646210.1, TIGR01603, 0.0
NP_646715.1, TIGR01603, 0.0
NP_646947.1, Tail_tube, 1.1
NP_662115.1, TT_Fam2, 3.3
NP_663681.1, TIGR02126, 2.0999999999999997e-42
NP_664523.1, TIGR01603, 0.0
NP_664739.1, TIGR01603, 0.0
NP_664911.1, TT_Fam8, 6.8e-25
NP_665024.1, TT_Fam7, 0.0
NP_665120.1, TIGR02126, 2e-38
NP_665228.1, TIGR02126, 0.0
NP_669509.1, TT_Fam1, 0.0
NP_669515.1, TT_Fam1, 2.6e-08
NP_670245.1, Tail_tube, 1.6e-39
NP_680492.1, TIGR01603, 8.600000000000001e-26
NP_687620.1, TT_Fam18, 4.2999999999999996e-24
NP_688837.1, TIGR01603, 0.0046
NP_690680.1, TIGR02126, 3.36e-44
NP_690767.1, TIGR01603, 3.1e-35
NP_691131.1, TIGR02126, 9.6e-43
NP_693979.1, TT_Fam4, 0.61
NP_695065.1, TT_Fam8, 3.5e-27
NP_695115.1, TIGR02126, 7.6e-39
NP_695161.1, TT_Fam7, 0.0
NP_705630.1, TT_Fam13, 0.0
NP_716312.1, TT_Fam3, 6.8e-07
NP_716852.1, TT_Fam14, 7.3
NP_718278.1, Tail_tube, 8.2e-39
NP_718525.1, TT_Fam2, 2e-39
NP_742679.2, DUF3277, 9.6
NP_743730.1, TT_Fam2, 0.0
NP_745204.1, Phage_tube, 0.0
NP_745997.1, Tail_tube, 3.1e-36
NP_752902.1, Phage_tube, 0.0
NP_753365.1, TT_Fam1, 0.0
NP_753489.1, TT_Fam1, 3.1e-17
NP_755045.1, TT_Fam1, 0.0
NP_758932.1, Phage_tube, 0.0
NP_779184.1, TT_Fam10, 5.5e-18
NP_779299.1, Phage_tube, 0.0
NP_779391.1, TT_Fam10, 7.6e-19
NP_781411.1, TT_Fam1, 5.8e-10
NP_781413.1, TT_Fam1, 0.0
NP_781414.1, TT_Fam1, 0.022
NP_782161.1, TT_Fam15, 0.0
NP_782683.1, DUF2001, 0.0
NP_790425.1, Tail_tube, 6.500000000000001e-33
NP_791909.1, TT_Fam9, 5.1
NP_793178.1, Phage_tube, 0.0
NP_793812.1, TT_Fam5, 0.0001
NP_801703.1, TIGR02126, 0.0
NP_801807.1, TIGR02126, 2e-38
NP_801903.1, TT_Fam7, 0.0
NP_802019.1, TT_Fam8, 6.8e-25
NP_802182.1, TIGR01603, 0.0
NP_802395.1, TIGR01603, 0.0
NP_803292.1, TIGR02126, 0.0
NP_803343.1, TIGR01603, 0.0
NP_803394.1, TIGR01603, 0.0
NP_805158.1, Phage_tube, 0.0
NP_805650.1, TT_Fam10, 0.0
NP_806376.1, Phage_tube, 0.0
NP_807101.1, Phage_tube, 0.0
NP_807897.1, Phage_tube, 0.0
NP_809125.1, TT_Fam1, 2.8
NP_810156.1, TT_Fam17, 6.8
NP_813360.1, Phage_tail_2, 9.7
NP_813699.1, TT_Fam5, 6.5e-05
NP_814137.1, TT_Fam15, 0.0
NP_815008.1, TIGR02126, 1.5e-27
NP_815191.1, TT_Fam10, 0.0
NP_815675.1, TT_Fam1, 3.3e-16
NP_816438.1, TIGR01603, 3e-07
NP_817349.1, TT_Fam20, 0.0
NP_817468.1, TT_Fam20, 6.1e-38
NP_817610.1, TT_Fam16, 0.00075
NP_817612.1, TT_Fam8, 0.0
NP_817689.1, TT_Fam20, 0.0
NP_817900.1, TT_Fam20, 0.0
NP_817987.1, TT_Fam8, 2.3e-19
NP_818332.1, TT_Fam20, 0.0
NP_821153.1, TT_Fam18, 0.0
NP_821556.1, Phage_T4_gp19, 1.8e-39
NP_822398.1, TT_Fam13, 0.77
NP_826688.1, TT_Fam8, 1.3e-26
NP_827199.1, TT_Fam14, 2.9
NP_831014.1, TT_Fam1, 1.5e-05
NP_831673.1, TIGR02126, 8e-39
NP_832350.1, TIGR01603, 1.6e-07
NP_835562.1, TIGR01603, 0.0
NP_835618.1, TT_Fam19, 1.1e-09
NP_836416.1, TT_Fam1, 0.0
NP_837589.1, Tail_tube, 5.1999999999999995e-40
NP_839871.1, Phage_tube, 0.0
NP_839931.1, TIGR01603, 0.0
NP_843013.1, TIGR01603, 1.5999999999999998e-30
NP_843717.1, TT_Fam1, 1.3e-06
NP_846034.1, TIGR01603, 1.9e-37
NP_846324.1, TIGR01603, 5.1000000000000004e-36
NP_852766.1, TT_Fam10, 1.1e-22
NP_853203.2, TT_Fam7, 1.9
NP_858961.1, CF-HK97, 0.0
NP_860299.1, TT_Fam15, 7.9e-06
NP_860497.1, Phage_tail_2, 1.6
NP_861850.1, Phage_T4_gp19, 0.0
NP_861871.1, Phage_T4_gp19, 0.0
NP_861898.1, Phage_T4_gp19, 4.8e-06
NP_862885.1, TT_Fam8, 1e-23
NP_872743.1, TT_Fam15, 8.2e-36
NP_873078.1, TT_Fam15, 2.2e-40
NP_873960.1, TT_Fam15, 2.2e-40
NP_891700.1, Phage_T4_gp19, 1.8e-08
NP_891726.1, Phage_T4_gp19, 3.6e-09
NP_891752.1, Phage_T4_gp19, 4.8e-09
NP_892057.1, CF-HK97, 1.6
NP_899572.1, Phage_T4_gp19, 0.0
NP_899576.1, Phage_T4_gp19, 3.8e-07
NP_899603.1, Phage_T4_gp19, 0.0
NP_900019.1, TT_Fam17, 0.0
NP_900079.1, TT_Fam3, 0.015
NP_900080.1, Phage_tube, 0.0
NP_901797.1, Phage_tube, 0.0
NP_918986.1, TT_Fam3, 0.0
NP_923374.1, Phage_T4_gp19, 1.9000000000000002e-31
NP_927047.1, Phage_T4_gp19, 9.4e-27
NP_927048.1, Phage_T4_gp19, 1.9e-22
NP_927049.1, Phage_T4_gp19, 1.7e-36
NP_932489.1, Phage_T4_gp19, 1.9e-09
NP_932510.1, Phage_T4_gp19, 1.3e-08
NP_932540.1, Phage_T4_gp19, 3.3e-07
NP_938248.1, TT_Fam3, 0.0
NP_944075.1, Phage_T4_gp19, 3.9e-09
NP_944078.1, Phage_T4_gp19, 2.2e-06
NP_944107.1, Phage_T4_gp19, 0.0
NP_944311.1, TT_Fam13, 0.0
NP_944897.1, TT_Fam10, 2.2e-07
NP_945041.1, TT_Fam4, 0.0
NP_945293.1, DUF2001, 0.0
NP_952030.1, Phage_T4_gp19, 7.1e-42
NP_952033.2, Phage_T4_gp19, 6.199999999999999e-42
NP_958077.1, Phage_tube, 0.0
NP_958107.1, TT_Fam13, 0.0
NP_958286.1, TT_Fam8, 1e-17
NP_958543.1, TIGR02126, 0.0
NP_958590.1, TT_Fam2, 3.4e-36
NP_958612.1, TIGR01603, 0.0
NP_962315.1, L_lac_phage_MSP, 7.3
NP_964339.1, TT_Fam2, 3.4e-36
NP_965230.1, TIGR02126, 0.0
NP_966346.1, Phage_tube, 0.0
NP_976734.1, TIGR01603, 3.3000000000000004e-26
NP_977673.1, TT_Fam1, 3.9e-07
NP_979836.1, TT_Fam6, 3.6
NP_992277.1, Tail_tube, 1.6e-39
NP_996712.1, TT_Fam8, 5.4000000000000005e-27
YP_001004313.1, TIGR02126, 0.0
YP_001004381.1, TIGR02126, 0.89
YP_001006540.1, TT_Fam1, 8.3e-09
YP_001006545.1, TT_Fam1, 9.7e-09
YP_001032165.1, TT_Fam1, 9.5e-06
YP_001032170.1, TT_Fam2, 0.00036
YP_001032441.1, L_lac_phage_MSP, 0.0
YP_001032442.1, L_lac_phage_MSP, 0.36
YP_001032443.1, L_lac_phage_MSP, 3.0
YP_001033346.1, TIGR01603, 0.0
YP_001036490.1, TT_Fam1, 0.59
YP_001038040.1, TIGR01603, 2.1e-28
YP_001038127.1, TIGR01603, 2.7999999999999998e-45
YP_001038881.1, DUF2001, 7.7e-42
YP_001039790.1, TT_Fam13, 0.0
YP_001039794.1, TT_Fam13, 0.0
YP_001039840.1, Phage_tube, 5.5e-40
YP_001039929.1, TIGR01603, 0.0
YP_001049678.1, DUF2597, 0.0
YP_001051565.1, TT_Fam14, 3.2
YP_001051937.1, TT_Fam3, 2.6e-19
YP_001053224.1, TT_Fam4, 0.0
YP_001069228.1, Phage_T4_gp19, 1.9e-28
YP_001069231.1, Phage_T4_gp19, 2.1e-27
YP_001087347.1, TT_Fam3, 4.1
YP_001087434.1, DUF2001, 0.0
YP_001087861.1, DUF2001, 0.0
YP_001089424.1, DUF2001, 0.0
YP_001104761.1, TT_Fam6, 2.9
YP_001106411.1, Phage_T4_gp19, 0.0014
YP_001110732.1, DUF2001, 0.0
YP_001110846.1, TT_Fam5, 0.00012
YP_001111060.1, Phage_tube, 0.0
YP_001111091.1, TT_Fam4, 3.9999999999999995e-42
YP_001111182.1, Phage_tube, 0.0
YP_001111213.1, TT_Fam3, 0.076
YP_001111214.1, Phage_tube, 0.0
YP_001112572.1, Phage_tube, 2.1999999999999997e-42
YP_001113935.1, TIGR01603, 0.0
YP_001125496.1, TT_Fam7, 2.7
YP_001126909.1, TT_Fam5, 0.69
YP_001128097.1, TT_Fam7, 0.0
YP_001128243.1, TT_Fam8, 7.899999999999999e-24
YP_001128586.1, TIGR02126, 0.0
YP_001128815.1, TIGR01603, 0.0
YP_001141415.1, DUF2597, 0.0
YP_001143548.1, DUF2597, 0.0
YP_001157397.1, TT_Fam8, 0.0
YP_001157399.1, TT_Fam16, 0.0
YP_001162386.1, TT_Fam1, 0.0
YP_001162392.1, TT_Fam1, 2.6e-08
YP_001163799.1, Tail_tube, 1.6e-39
YP_001165277.1, Phage_tube, 0.0
YP_001167288.1, TIGR02126, 3.9e-40
YP_001167514.1, TT_Fam14, 0.0
YP_001167565.1, TT_Fam2, 1.8
YP_001167957.1, Phage_tail_2, 2.5000000000000002e-21
YP_001168239.1, TT_Fam16, 1.3
YP_001168288.1, TT_Fam14, 0.0
YP_001175543.1, TT_Fam10, 0.0
YP_001176953.1, TT_Fam4, 0.0
YP_001177310.1, Tail_tube, 1.2e-34
YP_001178191.1, Phage_tube, 0.0
YP_001180103.1, TT_Fam1, 0.0022
YP_001189444.1, TT_Fam3, 2.2e-06
YP_001192956.1, Phage_tail, 3.1
YP_001193559.2, TT_Fam1, 0.0
YP_001194696.1, TT_Fam18, 3.5
YP_001195487.1, Phage_T4_gp19, 5.47e-44
YP_001195488.1, Phage_T4_gp19, 5.2999999999999994e-42
YP_001195539.1, TT_Fam1, 5.7e-05
YP_001205641.1, TT_Fam5, 5.2
YP_001206356.1, Phage_T4_gp19, 5.0000000000000005e-37
YP_001209656.1, TT_Fam3, 0.0
YP_001210232.1, TT_Fam5, 0.0
YP_001210602.1, TT_Fam18, 4.4
YP_001212731.1, TIGR02126, 8.1e-28
YP_001242400.1, Tail_tube, 0.28
YP_001245396.1, TT_Fam16, 3.1
YP_001245734.1, TIGR02126, 0.096
YP_001246275.1, TIGR02126, 0.0
YP_001246444.1, TIGR01603, 0.0
YP_001246445.1, TT_Fam1, 2.2
YP_001247374.1, TIGR01603, 0.0
YP_001247592.1, Tail_tube, 1.1
YP_001254150.1, TT_Fam1, 0.36
YP_001254234.1, DUF2001, 0.0
YP_001254833.1, DUF2001, 2.7999999999999998e-45
YP_001262682.1, TT_Fam14, 2.9e-18
YP_001265903.1, DUF3277, 9.6
YP_001268680.1, TT_Fam5, 4.5e-05
YP_001269415.1, TT_Fam2, 0.0
YP_001271703.1, TIGR01603, 0.0
YP_001272523.1, TT_Fam1, 0.0
YP_001276000.1, Phage_T4_gp19, 4.5e-39
YP_001276002.1, Phage_T4_gp19, 0.0
YP_001285367.1, TIGR02126, 0.0
YP_001285531.1, TT_Fam4, 0.0
YP_001285587.1, TT_Fam8, 2.9e-20
YP_001285653.1, DUF2597, 0.0
YP_001285684.1, CF-HK97, 0.0
YP_001285888.1, TT_Fam7, 0.0
YP_001292285.1, TT_Fam10, 0.0
YP_001293354.1, TT_Fam3, 0.0
YP_001293423.1, TT_Fam5, 1e-28
YP_001294447.1, TT_Fam13, 0.0
YP_001294451.1, TT_Fam13, 7.01e-45
YP_001294535.1, TT_Fam5, 1.3999999999999999e-45
YP_001294807.1, TT_Fam8, 1.2e-31
YP_001294839.1, TT_Fam13, 0.0
YP_001301736.1, TT_Fam1, 0.003
YP_001303790.1, Phage_T4_gp19, 7.599999999999999e-42
YP_001303791.1, Phage_T4_gp19, 3.7e-34
YP_001306684.1, TT_Fam14, 9.9e-30
YP_001308055.1, DUF2001, 3.6e-41
YP_001308223.1, TT_Fam1, 0.16
YP_001308778.1, DUF2001, 1.1999999999999999e-42
YP_001309808.1, TT_Fam19, 3.3
YP_001310064.1, DUF3277, 4.4
YP_001310479.1, DUF2001, 0.0
YP_001315161.1, TT_Fam16, 3.1
YP_001315510.1, TIGR02126, 0.096
YP_001316059.1, TIGR02126, 0.0
YP_001316230.1, TIGR01603, 0.0
YP_001316231.1, TT_Fam1, 2.2
YP_001317167.1, TIGR01603, 0.0
YP_001317389.1, Tail_tube, 1.1
YP_001318314.1, TT_Fam10, 0.0
YP_001319253.1, TT_Fam13, 9.0
YP_001319786.1, TT_Fam10, 0.0
YP_001320234.1, DUF2001, 0.0
YP_001320378.1, DUF2001, 3.7999999999999995e-42
YP_001321763.1, TIGR01603, 4.0000000000000004e-21
YP_001322087.1, TT_Fam10, 0.0
YP_001327009.1, Phage_tail_2, 1.6e-21
YP_001327321.1, Phage_tail_2, 4.3e-18
YP_001327404.1, TT_Fam12, 4.3
YP_001327553.1, CF-HK97, 6.1
YP_001331040.1, TT_Fam16, 3.2
YP_001331333.1, TIGR02126, 0.89
YP_001332059.1, TIGR02126, 0.0
YP_001332817.1, TIGR02126, 0.0
YP_001332924.1, TIGR01603, 0.0
YP_001333143.1, Tail_tube, 3.7
YP_001335087.1, TT_Fam5, 2.4e-09
YP_001337107.1, Phage_tube, 0.0
YP_001339449.1, DUF2597, 0.0
YP_001344540.1, TT_Fam4, 0.0
YP_001346091.1, DUF2597, 0.0
YP_001346161.1, Phage_tube, 0.0
YP_001346172.1, TT_Fam2, 0.0
YP_001347781.1, TT_Fam4, 0.0
YP_001350396.1, DUF2597, 0.0
YP_001354405.1, TT_Fam3, 9.199999999999999e-42
YP_001354465.1, TT_Fam3, 0.0
YP_001355944.1, TT_Fam14, 0.0
YP_001361464.1, TT_Fam8, 2.7e-22
YP_001362607.1, TT_Fam16, 6.2
YP_001364981.1, TT_Fam3, 9.7e-20
YP_001366307.1, TT_Fam3, 6.5e-09
YP_001367407.1, TT_Fam14, 3.7
YP_001374275.1, TT_Fam1, 6e-08
YP_001375817.1, TIGR01603, 2.7000000000000003e-35
YP_001376164.1, TT_Fam15, 0.0
YP_001378927.1, TT_Fam1, 8.6
YP_001379604.1, TT_Fam23, 0.61
YP_001383987.1, TT_Fam1, 0.36
YP_001384744.1, TIGR01603, 3.7e-34
YP_001385261.1, TIGR01603, 3.5999999999999996e-30
YP_001387531.1, TT_Fam1, 0.36
YP_001390985.1, TT_Fam1, 0.027
YP_001391150.1, TIGR01603, 7.1e-32
YP_001391648.1, DUF2001, 0.0
YP_001392474.1, TIGR01603, 7.2e-35
YP_001393554.1, DUF2001, 4.8
YP_001395245.1, DUF2001, 9.81e-45
YP_001395336.1, DUF2001, 5.2999999999999994e-42
YP_001396017.1, TIGR01603, 2.1e-26
YP_001396635.1, DUF2001, 3.8000000000000005e-43
YP_001396996.1, TT_Fam19, 7.0
YP_001405880.1, TT_Fam14, 0.0
YP_001408188.1, TT_Fam7, 7.2
YP_001412191.1, TIGR02126, 1.8e-36
YP_001417032.1, DUF3277, 3.8
YP_001418048.1, TIGR02126, 3.6e-38
YP_001418525.1, TT_Fam10, 0.0
YP_001418599.1, CF-HK97, 8.5
YP_001419367.1, Tail_tube, 2e-06
YP_001421025.1, Phage_tail_2, 0.62
YP_001422004.1, TT_Fam10, 0.92
YP_001429948.1, TIGR01603, 0.0
YP_001432909.1, Phage_T4_gp19, 0.0
YP_001432911.1, Phage_T4_gp19, 2.9e-39
YP_001437139.1, TT_Fam4, 5.4e-19
YP_001437728.1, TT_Fam1, 0.00088
YP_001438400.1, TT_Fam1, 0.38
YP_001439104.1, TT_Fam7, 0.007
YP_001440596.1, TT_Fam16, 3.1
YP_001441483.1, TIGR02126, 0.0
YP_001442533.1, TIGR01603, 0.0
YP_001442779.1, Tail_tube, 1.1
YP_001449301.1, TT_Fam4, 2.4e-08
YP_001450571.1, TT_Fam5, 9.1
YP_001453034.1, TT_Fam9, 9.5
YP_001453419.1, TT_Fam1, 3e-08
YP_001455104.1, TT_Fam17, 4.6
YP_001456742.1, TT_Fam6, 5.3000000000000004e-33
YP_001457680.1, Phage_tube, 0.0
YP_001463280.1, Phage_tube, 1.8999999999999998e-24
YP_001467947.1, TT_Fam5, 4.6000000000000004e-33
YP_001468063.1, TT_Fam5, 4.6000000000000004e-33
YP_001468398.1, TT_Fam7, 4.2e-45
YP_001468399.1, TT_Fam1, 0.087
YP_001468474.1, TT_Fam21, 0.0
YP_001468650.1, TIGR01603, 1.5e-19
YP_001468719.1, TT_Fam10, 2.8e-40
YP_001468795.1, TT_Fam15, 0.0
YP_001468852.1, TT_Fam7, 3.6e-31
YP_001468940.1, TT_Fam8, 4.9e-24
YP_001469054.1, TT_Fam1, 5.3e-07
YP_001469168.1, TT_Fam3, 0.0
YP_001469217.1, TIGR02126, 0.0
YP_001469244.1, TT_Fam20, 0.0
YP_001469473.1, Phage_T4_gp19, 9.4e-09
YP_001469500.1, Phage_T4_gp19, 3.6e-09
YP_001469528.1, Phage_T4_gp19, 8.7e-08
YP_001472405.1, TT_Fam1, 0.87
YP_001477096.1, Phage_tube, 0.0
YP_001480937.1, Tail_tube, 2.5
YP_001487448.1, CF-HK97, 2.4
YP_001487976.1, DUF2001, 0.0
YP_001489876.1, TT_Fam7, 4.2
