Prot RefSeq, Name, E Value
NP_037677.1, LM-HK97, 5.9e-39
NP_037711.1, LM-HK97, 2.7e-38
NP_040596.1, LM-Lam, 6e-35
NP_046912.1, LM-HK97, 1e-31
NP_061517.1, LM-Lam, 6.8e-28
NP_249328.1, LM-HK97, 1.1e-30
NP_286524.1, LM-HK97, 2e-37
NP_287595.1, LM-Lam, 4.3e-34
NP_287785.1, LM-Lam, 3.8e-35
NP_288445.1, LM-Lam, 4.3e-34
NP_297812.1, LM-73, 0.0
NP_308865.1, LM-Lam, 4.6e-38
NP_309142.1, LM-Lam, 3.8e-35
NP_309581.1, LM-HK97, 4.6e-32
NP_309671.1, LM-Lam, 1.1000000000000001e-35
NP_309831.1, LM-HK97, 5.5e-33
NP_310011.1, LM-HK97, 3.2e-33
NP_310192.1, LM-Lam, 4.3e-34
NP_310266.1, LM-HK97, 5.5e-33
NP_310751.1, LM-Lam, 4.3e-34
NP_310975.1, LM-Lam, 4.3e-34
NP_360407.1, LM-RDJL, 0.0
NP_421573.1, LM-RDJL, 0.0
NP_440280.1, LM-HK97, 3.3
NP_459896.1, LM-HK97, 2.0999999999999999e-38
NP_460017.1, LM-HK97, 4e-37
NP_461529.1, LM-Lam, 1.6e-39
NP_519812.1, LM-HK97, 2.8999999999999998e-34
NP_536372.1, LM-HK97, 1.4e-36
NP_669506.1, LM-HK97, 2.4e-32
NP_718521.1, LM-HK97, 5.3e-36
NP_743737.1, LM-Lam, 8.4e-21
NP_753370.1, LM-Lam, 4.3e-34
NP_755041.1, LM-Lam, 1.2e-35
NP_765389.1, LM-YuA, 7.6
NP_836420.1, LM-Lam, 6.799999999999999e-38
NP_858966.1, LM-Lam, 0.001
NP_872754.1, LM-73, 0.0
NP_873084.1, LM-73, 1.4e-32
NP_873085.1, LM-73, 0.0
NP_873966.1, LM-73, 1.4e-32
NP_873967.1, LM-73, 0.0
NP_905069.1, LM-RDJL, 3.6
NP_918980.1, LM-73, 0.0
NP_925925.1, LM-73, 9.6
NP_938256.1, LM-73, 0.0
NP_945045.1, LM-HK97, 1.4e-36
NP_967019.1, LM-RDJL, 0.0
YP_001053228.1, LM-HK97, 1.5e-22
YP_001111095.1, LM-HK97, 1.8e-36
YP_001162383.1, LM-HK97, 2.4e-32
YP_001167292.1, LM-RDJL, 0.0
YP_001176948.1, LM-HK97, 2.7e-38
YP_001194407.1, LM-RDJL, 0.017
YP_001198895.1, LM-RDJL, 5.1
YP_001201098.1, LM-RDJL, 5.7
YP_001205646.1, LM-Lam, 1.8e-08
YP_001210237.1, LM-Lam, 0.0
YP_001248479.1, LM-RDJL, 0.0
YP_001268676.1, LM-Lam, 9.400000000000001e-26
YP_001269407.1, LM-Lam, 2.6e-18
YP_001272527.1, LM-Lam, 4.6e-38
YP_001285536.1, LM-HK97, 1e-23
YP_001285688.1, LM-Lam, 0.001
YP_001291632.1, LM-73, 2.6
YP_001293430.1, LM-73, 0.0
YP_001294542.1, LM-73, 0.0
YP_001295234.1, LM-RDJL, 1.4
YP_001296985.1, LM-YuA, 0.55
YP_001304000.1, LM-YuA, 1.4
YP_001319850.1, LM-YuA, 8.2
YP_001335092.1, LM-Lam, 1.1999999999999998e-23
YP_001344545.1, LM-HK97, 2.6999999999999997e-24
YP_001346176.1, LM-HK97, 1.2e-30
YP_001347785.1, LM-HK97, 2e-37
YP_001354411.1, LM-73, 1.3e-21
YP_001354471.1, LM-73, 8.9e-18
YP_001355948.1, LM-RDJL, 9.1e-09
YP_001405887.1, LM-73, 1.9e-16
YP_001405888.1, LM-73, 0.027
YP_001412196.1, LM-RDJL, 0.0
YP_001413608.1, LM-Lam, 0.97
YP_001418055.1, LM-RDJL, 0.0
YP_001418601.1, LM-Lam, 1.2e-07
YP_001429615.1, LM-RDJL, 0.59
YP_001437145.1, LM-HK97, 3.8e-37
