Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037679.1,LK-HK97,LK-HK97,3.70E-20,80.1,116,231,1,0,1
Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037679.1,LK-mEp235,LK-mEp235,3.70E-20,79.9,2,109,0,1,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037713.1,LK-HK97,LK-HK97,3.80E-20,80.1,116,231,1,0,1
Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037713.1,LK-mEp235,LK-mEp235,9.70E-20,78.5,2,109,0,0,0
Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038345.1,LK-HK97,LK-HK97,0.35,19.1,17,140,0,1,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040598.1,LK-HK97,LK-HK97,0,52.4,63,176,1,0,1
Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040598.1,LK-mEp235,LK-mEp235,0.000011,33.4,2,62,0,1,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046914.1,LK-HK97,LK-HK97,4.10E-20,80,116,231,1,0,1
Enterobacteria phage N15,Escherichia coli,neg,NC_001901,NP_046914.1,LK-mEp235,LK-mEp235,3.40E-20,80,2,109,0,0,0
Streptococcus phage DT1,Streptococcus thermophilus,pos,NC_002072,NP_049413.1,LK-HK97,LK-HK97,0.4,18.9,19,140,0,0,0
Streptococcus phage Sfi19,Streptococcus thermophilus,pos,NC_000871,NP_049942.1,LK-HK97,LK-HK97,0.53,18.5,26,147,0,0,0
Streptococcus phage Sfi21,Streptococcus thermophilus,pos,NC_000872,NP_049985.1,LK-HK97,LK-HK97,0.54,18.5,26,147,0,0,0
Lactobacillus phage phiadh,Lactobacillus gasseri,pos,NC_000896,NP_050160.1,LK-HK97,LK-HK97,0,65.2,1102,1196,0,0,0
Streptococcus phage Sfi11,Streptococcus thermophilus,pos,NC_002214,NP_056699.1,LK-HK97,LK-HK97,1.2,17.4,26,146,0,0,0
Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076634.1,LK-HK97,LK-HK97,0.0055,24.9,16,131,0,0,0
Lactococcus phage bIL286,Lactococcus lactis subsp. lactis Il1403,pos,NC_002667,NP_076695.1,LK-HK97,LK-HK97,0.007,24.6,17,131,0,0,0
Lactococcus phage bIL309,Lactococcus lactis subsp. lactis Il1403,pos,NC_002668,NP_076751.1,LK-HK97,LK-HK97,0.0047,25.1,16,131,0,0,0
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_102711.1,LK-mEp235,LK-mEp235,0.29,19.1,10,63,0,0,0
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_106238.1,LK-HK97,LK-HK97,0,55.2,136,229,0,0,0
Mesorhizobium loti MAFF303099,0,0,NC_002678,NP_106739.1,LK-mEp235,LK-mEp235,0,55.3,63,190,0,0,0
Lactococcus phage BK5-T,Lactococcus lactis,pos,NC_002796,NP_116519.1,LK-HK97,LK-HK97,0.005,25,17,131,0,0,0
Myxococcus phage Mx8,Myxococcus xanthus strain DK883,neg,NC_003085,NP_203486.1,LK-HK97,LK-HK97,0.00049,28.3,18,138,0,0,0
Helicobacter pylori 26695,0,0,NC_000915,NP_206887.1,LK-HK97,LK-HK97,1.80E-18,74.7,301,437,0,0,0
Aquifex aeolicus VF5,0,0,NC_000918,NP_214106.1,LK-mEp235,LK-mEp235,1.8,16.6,105,227,0,0,0
Aquifex aeolicus VF5,0,0,NC_000918,NP_214163.1,LK-mEp235,LK-mEp235,4.30E-21,82.8,5,125,0,0,0
