Prot RefSeq, Name, E Value
NP_037672.1, TR-SPP1, 9.1e-16
NP_037705.1, TR-SPP1, 0.0
NP_038331.1, TR-Sfi21, 1.7e-43
NP_039686.1, TR-Che8, 0.0041
NP_040591.1, TR-Lam, 0.0
NP_043490.1, TR-P2, 6.7e-33
NP_046768.1, TR-P2, 2.3999999999999997e-38
NP_046838.1, TR-Che8, 0.013
NP_046907.1, TR-Lam, 0.0
NP_049400.1, TR-Sfi21, 2.0999999999999997e-42
NP_049774.1, U_T4-gp15_tss, 0.0
NP_049975.1, TR-Sfi21, 1.7999999999999998e-40
NP_050155.1, TR-Sfi21, 6.1e-05
NP_050641.1, TR-Mu, 1.3999999999999998e-42
NP_056685.1, TR-SPP1, 3e-10
NP_058450.1, TR-ListeriaB025, 9.4e-06
NP_061511.1, TR-Che8, 6e-20
NP_061637.1, TR-FL3A, 1.7e-06
NP_075285.1, TR-Che8, 0.00013
NP_075508.1, TR-ListeriaB025, 5.5e-24
NP_076621.1, TR-Bmccartyi, 2.3e-07
NP_076683.1, TR-Sfi21, 1.26e-44
NP_076742.1, TR-Sfi21, 7.5e-42
NP_108204.1, TR-T1, 2.2e-37
NP_108608.1, TR-T1, 2.1
NP_108721.1, TR-SPP1, 0.0
NP_112704.1, TR-SPP1, 0.0
NP_116503.1, TR-Sfi21, 3.64e-44
NP_150171.1, TR-BCJA1C, 7.199999999999999e-42
NP_215023.1, TR-meningitidis, 2.9
NP_244389.1, TR-MGAS315, 0.0
NP_249601.1, TR-Bcep1, 0.0
NP_266632.1, TR-Sfi21, 7.5e-42
NP_267201.1, TR-Bmccartyi, 2.3e-07
NP_267547.1, TR-Sfi21, 1.26e-44
NP_268929.1, TR-BCJA1C, 1.21e-43
NP_269172.1, TR-SPP1, 5.8e-07
NP_269535.1, TR-Che8, 0.0033
NP_274133.1, TR-DMS3, 1.0000000000000001e-29
NP_286519.1, TR-Lam, 0.0
NP_286891.1, TR-SPP1, 0.0
NP_287298.1, TR-SPP1, 0.0
NP_287377.1, TR-Lam, 0.0
NP_287386.1, TR-SPP1, 0.0
NP_287975.1, TR-SPP1, 0.0
NP_288450.1, TR-Lam, 0.0
NP_288655.1, TR-SPP1, 0.0
NP_298871.1, TR-Bcep1, 5.3e-17
NP_298976.1, TR-Bcep1, 5.3e-17
NP_308860.1, TR-Lam, 0.0
NP_309575.1, TR-SPP1, 0.0
NP_309666.1, TR-Lam, 0.0
NP_309826.1, TR-SPP1, 0.0
NP_310006.1, TR-SPP1, 0.0
NP_310197.1, TR-Lam, 0.0
NP_310271.1, TR-SPP1, 0.0
NP_310980.1, TR-Lam, 0.0
NP_313004.1, TR-Mu, 1.1999999999999999e-42
NP_334939.2, TR-meningitidis, 2.9
NP_345475.1, TR-meningitidis, 9.4
NP_346702.1, TR-SPP1, 4.9
NP_348511.1, TR-Bmccartyi, 0.0036
NP_370659.1, TR-T4, 0.15
NP_372482.1, TR-ListeriaB025, 0.0
NP_373372.1, TR-T4, 0.15
NP_375067.1, TR-ListeriaB025, 0.0
NP_388321.1, TR-phi297, 0.91
NP_389146.1, TR-CD38, 6.3
NP_390486.2, TR-CD38, 0.0088
NP_421578.1, TR-SPP1, 0.0
NP_438150.1, TR-BCJA1C, 1.21e-43
NP_439659.2, TR-DMS3, 0.0
NP_459892.1, TR-Lam, 0.0
NP_460012.1, TR-Lam, 0.0
NP_461534.1, TR-Lam, 0.0
NP_461640.1, TR-P2, 2.2e-36
NP_463080.1, TR-BcepMu, 0.0
NP_463472.1, TR-BCJA1C, 6.4e-29
NP_490612.1, TR-P2, 1.8e-36
NP_510943.1, TR-SPP1, 0.0
NP_510989.1, TR-Cereus, 3.1000000000000002e-27
NP_519809.1, TR-Che8, 0.0
NP_520050.1, TR-P2, 6.799999999999999e-42
NP_536367.1, TR-Che8, 0.0
NP_536653.1, TR-P2, 2.3000000000000002e-33
NP_536826.1, TR-P2, 2e-35
NP_543095.1, TR-DMS3, 5.7e-30
NP_562042.1, TR-ListeriaB025, 9.8e-06
NP_569749.1, TR-Che8, 0.45
NP_599041.1, TR-DMS3, 4.2e-27
NP_603015.1, TR-ListeriaB025, 0.32
NP_603293.1, TR-Adjutor, 6.2
NP_606629.1, TR-ListeriaB025, 1.6e-38
NP_606932.1, TR-ListeriaB025, 0.0016
NP_607369.1, TR-SPP1, 6.3e-08
NP_607543.1, TR-Che8, 0.0018
NP_607791.1, TR-BCJA1C, 1.09e-43
NP_612839.1, TR-ListeriaB025, 0.00081
NP_625956.1, TR-Giles, 4.1
NP_638328.1, TR-P2, 8e-36
NP_642963.1, TR-P2, 8.3e-37
NP_644924.1, TR-T4, 0.14
NP_646211.1, TR-ListeriaB025, 5.5e-24
NP_646716.1, TR-FL3A, 1.1e-06
NP_663680.1, TR-SPP1, 6e-09
NP_664522.1, TR-ListeriaB025, 1.6e-38
