Name, Total #hits, <0.001, Unique hits
Phage_lambd_GpG, 214, 206, 207
DUF1268, 124, 29, 96
U_TG_Spo1, 45, 17, 34
TG_Fam1, 1408, 101, 834
TG_Fam5, 85, 18, 72
TG_Fam10, 36, 9, 30
DUF2376, 280, 61, 196
DUF3356, 381, 85, 265
DUF2669, 113, 18, 102
U_Phage_TAC_13, 64, 29, 57
U_Phage_TAC_1, 215, 91, 214
TG_Fam8, 73, 29, 59
DUF3647, 325, 139, 283
DUF2765, 97, 49, 81
TH_Fam3, 123, 10, 112
Phage_Gp14, 106, 8, 95
XkdN, 281, 118, 236
TIGR02216, 206, 45, 161
TG_Fam4, 86, 70, 84
DUF1789, 178, 66, 132
TG_Fam7, 99, 18, 62
TIGR01674, 258, 198, 254
TG_Fam11, 35, 5, 30
TG_Fam3, 97, 58, 88
U_TG_Cr, 147, 21, 107
TG_Fam6, 70, 4, 63
FluMu_gp41, 776, 506, 561
TG_Fam2, 126, 21, 121
TG_Fam9, 56, 19, 48
U_Phage_TAC_14, 32, 11, 25
