,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,,
,Enterobacteria phage T4,Escherichia coli,neg,NC_000866,NP_049866.1,TC-ListeriaB025,TC-ListeriaB025,7.60E+00,14.7,2,75,0,0,0,
,Staphylococcus phage phiSLT,Staphylococcus aureus,pos,NC_002661,NP_075507.1,TC-ListeriaB025,TC-ListeriaB025,0,195.5,1,123,0,0,0,
,Lactococcus phage bIL285,Lactococcus lactis subsp. lactis IL1403,pos,NC_002666,NP_076620.1,TC-JCL103,TC-JCL103,1.40E-24,94.9,1,123,0,1,1,
,Helicobacter pylori J99,0,0,NC_000921,NP_223387.1,TC-ListeriaB025,TC-ListeriaB025,9.2,14.5,59,125,1,1,1,
,Helicobacter pylori J99,0,0,NC_000921,NP_223387.1,TC-ListeriaB025,TC-ListeriaB025,9.2,14.5,141,216,1,0,1,
,Helicobacter pylori J99,0,0,NC_000921,NP_223387.1,TC-ListeriaB025,TC-ListeriaB025,9.2,14.5,268,336,0,0,0,
,Bacillus halodurans C-125,0,0,NC_002570,NP_244390.1,TC-IEBH,TC-IEBH,1.2,17.4,13,108,,0,0,
,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_267200.1,TC-JCL103,TC-JCL103,1.40E-24,94.9,1,123,0,0,0,
,Lactococcus lactis subsp. lactis Il1403,0,0,NC_002662,NP_268294.1,TC-ListeriaB025,TC-ListeriaB025,5.10E+00,15.3,18,94,0,0,0,
,Staphylococcus aureus subsp. aureus Mu50,0,0,NC_002758,NP_372483.1,TC-ListeriaB025,TC-ListeriaB025,3.90E-31,116,1,134,0,0,0,
,Staphylococcus aureus subsp. aureus N315,0,0,NC_002745,NP_375068.1,TC-ListeriaB025,TC-ListeriaB025,7.50E-32,118.3,1,134,0,1,1,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390494.1,TC-JCL103,TC-JCL103,6.9,15.1,2,82,1,0,1,
,Bacillus subtilis subsp. subtilis str. 168,0,0,NC_000964,NP_390494.1,TC-JCL103,TC-JCL103,6.9,15.1,85,173,0,0,0,
,Clostridium perfringens str. 13,0,0,NC_003366,NP_562041.1,TC-ListeriaB025,TC-ListeriaB025,0.07,21.3,4,145,0,0,0,
,Clostridium perfringens str. 13,0,0,NC_003366,NP_562549.1,TC-ListeriaB025,TC-ListeriaB025,0.59,18.3,1,84,0,0,0,
,Streptococcus pyogenes MGAS8232,0,0,NC_003485,NP_606628.1,TC-ListeriaB025,TC-ListeriaB025,3.60E-42,151.7,3,130,0,0,0,
,Staphylococcus aureus subsp. aureus MW2,0,0,NC_003923,NP_646212.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,0,0,
,Streptococcus pyogenes MGAS315,0,0,NC_004070,NP_664521.1,TC-ListeriaB025,TC-ListeriaB025,3.60E-42,151.7,3,130,0,0,0,
,Streptococcus agalactiae 2603V/R,0,0,NC_004116,NP_688838.1,TC-JCL103,TC-JCL103,0,53.8,6,110,0,1,1,
,Escherichia coli CFT073,0,0,NC_004431,NP_752864.1,TC-ShewanellaB,TC-ShewanellaB,2,16.6,15,62,1,0,1,
,Escherichia coli CFT073,0,0,NC_004431,NP_752864.1,TC-ShewanellaB,TC-ShewanellaB,2,16.6,109,168,0,0,0,
,Streptococcus pyogenes SSI-1,0,0,NC_004606,NP_802397.1,TC-ListeriaB025,TC-ListeriaB025,3.60E-42,151.7,3,130,0,0,0,
,Staphylococcus phage phi 12,Staphylococcus aureus subsp. aureus NCTC 8325,pos,NC_004616,NP_803341.1,TC-ListeriaB025,TC-ListeriaB025,0,216,1,133,0,0,0,
,Enterococcus faecalis V583,0,0,NC_004668,NP_815677.1,TC-JCL103,TC-JCL103,0.000059,31.5,1,125,0,0,0,
,Staphylococcus phage phiN315,Staphylococcus aureus subsp. aureus N315,pos,NC_004740,NP_835560.1,TC-ListeriaB025,TC-ListeriaB025,7.50E-32,118.3,1,134,0,0,0,
,Bacillus anthracis str. Ames,0,0,NC_003997,NP_843011.1,TC-JCL103,TC-JCL103,1.80E-29,110.8,1,118,0,0,0,
,Bacillus anthracis str. Ames,0,0,NC_003997,NP_846036.1,TC-JCL103,TC-JCL103,1.80E-31,117.2,1,118,0,0,0,
,Bacillus anthracis str. Ames,0,0,NC_003997,NP_846326.1,TC-ListeriaB025,TC-ListeriaB025,0.43,18.8,2,142,0,1,1,
