,,Species ,Host ,GC ,Gstain ,Prot RefSeq,Hmm ID,Name ,E value ,Score ,Start,Stop ,Duplicate,DD,*
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,TM-Lam,TM-Lam,3.10E-17,71.4,25,203,1,1,1
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,TIGR01541,TIGR01541,0,449.1,429,759,1,1,1
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,TM_Fam1,TM_Fam1,0,225.9,1,289,1,1,1
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,TM_Fam1,TM_Fam1,0,225.9,293,467,1,1,1
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,TM_Fam3,TM_Fam3,3.00E-19,78.1,25,188,1,0,1
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,TM_Fam3,TM_Fam3,3.00E-19,78.1,536,768,0,0,0
,,Enterobacteria phage HK022,Escherichia coli,neg,NC_002166,NP_037676.1,U_TM_CT-IMP,U_TM_CT-IMP,3.00E-18,73.3,678,733,0,1,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TM-HK97,TM-HK97,0,442.8,51,184,1,1,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TM-HK97,TM-HK97,0,442.8,409,688,1,1,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TM-HK97,TM-HK97,0,442.8,690,771,1,1,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TIGR01541,TIGR01541,0,236.8,85,140,1,1,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TIGR01541,TIGR01541,0,236.8,717,1042,1,1,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TIGR02675,TIGR02675,3.10E-19,77.1,157,231,1,0,1
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,TM_Fam3,TM_Fam3,0,63,835,1036,0,0,0
,,Enterobacteria phage HK97,Escherichia coli,neg,NC_002167,NP_037710.1,U_TM_CT-IMP,U_TM_CT-IMP,0,64.7,961,1016,0,0,0
,,Streptococcus phage 7201,Streptococcus thermophilus,pos,NC_002185,NP_038334.1,TIGR02675,TIGR02675,0.0029,26,364,445,0,1,1
,,Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039690.1,TM-SPP1,TM-SPP1,0,57.8,149,729,1,1,1
,,Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039690.1,U_TM_TP-C,U_TM_TP-C,0.14,20.7,207,258,1,0,1
,,Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039690.1,U_TM_TP-C,U_TM_TP-C,0.14,20.7,301,345,0,0,0
,,Mycobacterium phage L5,Mycobacterium tuberculosis,myc,NC_001335,NP_039690.1,U_TM_TP-C,U_TM_TP-C,0.14,20.7,592,658,0,1,1
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040595.1,TM-Lam,TM-Lam,0,224.4,49,258,1,0,1
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040595.1,TIGR01541,TIGR01541,0,448.7,471,813,0,0,0
,,Enterobacteria phage lambda,Escherichia coli,neg,NC_001416,NP_040595.1,U_TM-PNJ,U_TM-PNJ,7.30E-22,85.3,54,140,0,0,0
,,Lactococcus phage bIL67,Lactococcus,pos,NC_001629,NP_042314.1,TIGR02675,TIGR02675,0.59,18.6,245,327,0,0,0
,,Lactococcus phage bIL67,Lactococcus,pos,NC_001629,NP_042314.1,TIGR02675,TIGR02675,0.59,18.6,389,447,0,1,1
,,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043498.1,TM-P2,TM-P2,1.70E-28,108.2,11,83,1,1,1
,,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043498.1,TM-P2,TM-P2,1.70E-28,108.2,86,286,1,0,1
,,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043498.1,TM_Fam1,TM_Fam1,0.07,21,11,161,0,0,0
,,Haemophilus phage HP1,Haemophilus influenzae,neg,NC_001697,NP_043498.1,TM_Fam1,TM_Fam1,0.07,21,117,376,0,0,0
,,Lactococcus phage c2,Lactococcus lactis,pos,NC_001706,NP_043558.1,TIGR02675,TIGR02675,0.016,23.6,244,327,0,0,0
,,Lactococcus phage c2,Lactococcus lactis,pos,NC_001706,NP_043558.1,TIGR02675,TIGR02675,0.016,23.6,292,370,0,1,1
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044960.1,TIGR01760,TIGR01760,0.11,19.8,166,339,1,1,1
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044960.1,TIGR01760,TIGR01760,0.11,19.8,312,402,1,1,1
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044960.1,TIGR01760,TIGR01760,0.11,19.8,443,499,1,1,1
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044960.1,TIGR01760,TIGR01760,0.11,19.8,481,560,1,0,1
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044960.1,TIGR01760,TIGR01760,0.11,19.8,874,948,0,0,0
,,Lactococcus phage sk1,Lactococcus lactis,pos,NC_001835,NP_044960.1,TIGR02675,TIGR02675,0.00046,28.5,248,328,0,1,1
,,Bacillus phage SPbeta,Bacillus subtilis,pos,NC_001884,NP_046584.1,TM-P2,TM-P2,2.60E-26,101,268,363,1,0,1
,,Bacillus phage SPbeta,Bacillus subtilis,pos,NC_001884,NP_046584.1,TM-P2,TM-P2,2.60E-26,101,387,587,0,0,0
,,Bacillus phage SPbeta,Bacillus subtilis,pos,NC_001884,NP_046584.1,TIGR01760,TIGR01760,0,297.8,349,695,0,1,1
,,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046782.1,TM-P2,TM-P2,1.40E-41,150.9,238,440,1,0,1
,,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046782.1,TIGR01760,TIGR01760,0,356.8,23,194,0,0,0
,,Enterobacteria phage P2,Escherichia coli,neg,NC_001895,NP_046782.1,TIGR01760,TIGR01760,0,356.8,198,550,0,1,1
,,Mycobacterium phage D29,Mycobacterium tuberculosis,myc,NC_001900,NP_046842.1,TM-SPP1,TM-SPP1,3.00E-20,79.7,149,730,1,1,1
